선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
박건우,롯데,55509,0.667,6,3,3,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0.667,0.667,1.334,0,1.000,0.000,0,0,0,-,0,0.00,3.67,0.000,0.9,0.467
박찬형,롯데,55530,0.341,48,148,129,21,44,8,2,3,65,19,0,1,11,1,7,26,1,0.504,0.419,0.923,10,0.364,0.625,13,31,29,1.07,0,0.42,3.64,0.163,25.7,0.315
레이예스,롯데,54529,0.326,144,643,573,75,187,44,1,13,272,107,0,9,58,17,3,66,25,0.475,0.386,0.861,60,0.375,0.000,58,185,144,1.28,7,0.88,3.60,0.148,94.9,0.292
전준우,롯데,78513,0.293,114,472,410,50,120,26,1,8,172,70,3,6,44,2,9,71,9,0.420,0.369,0.789,29,0.359,0.250,35,98,127,0.77,11,0.62,3.70,0.127,64.0,0.271
전민재,롯데,68205,0.287,101,369,331,39,95,15,0,5,125,34,10,2,22,0,4,63,7,0.378,0.337,0.715,27,0.253,0.000,20,99,76,1.30,1,0.35,3.76,0.091,40.7,0.246
박재엽,롯데,55563,0.286,9,16,14,2,4,1,0,1,8,3,0,0,2,0,0,5,0,0.571,0.375,0.946,1,0.200,0.000,2,2,3,0.67,1,0.40,3.69,0.286,2.9,0.312
윤동희,롯데,52591,0.282,97,399,330,54,93,21,1,9,143,53,3,6,49,2,11,65,12,0.433,0.386,0.819,26,0.292,0.500,31,91,87,1.05,4,0.75,4.14,0.152,56.5,0.282
유강남,롯데,61102,0.274,110,350,303,35,83,18,0,5,116,38,3,5,26,0,13,66,11,0.383,0.352,0.735,18,0.204,0.417,23,87,72,1.21,3,0.39,3.97,0.109,41.0,0.254
한태양,롯데,52568,0.274,108,267,230,42,63,14,2,2,87,22,3,0,32,0,2,69,3,0.378,0.367,0.745,11,0.274,0.167,18,56,42,1.33,2,0.46,4.14,0.104,32.4,0.260
고승민,롯데,69517,0.271,121,538,469,71,127,21,2,4,164,45,6,4,56,1,3,83,8,0.350,0.350,0.700,36,0.241,0.000,27,126,137,0.92,6,0.67,4.00,0.079,60.8,0.245
노진혁,롯데,62931,0.270,28,69,63,11,17,1,2,1,25,5,0,0,5,0,1,20,0,0.397,0.333,0.730,2,0.188,0.267,4,9,17,0.53,0,0.25,4.13,0.127,8.5,0.249
장두성,롯데,68507,0.262,118,284,248,51,65,3,3,0,74,25,7,2,24,0,3,64,3,0.298,0.332,0.630,19,0.269,0.000,6,67,54,1.24,2,0.38,3.85,0.036,28.3,0.224
황성빈,롯데,50500,0.256,79,273,246,43,63,4,4,1,78,22,3,2,18,0,4,46,3,0.317,0.315,0.632,19,0.213,0.000,9,90,49,1.84,0,0.39,3.66,0.061,29.1,0.221
손호영,롯데,50150,0.250,97,375,328,39,82,12,0,4,106,41,11,4,22,0,10,66,9,0.323,0.313,0.636,24,0.321,0.000,16,83,101,0.82,4,0.33,3.59,0.073,35.5,0.222
김민성,롯데,77564,0.243,96,254,214,25,52,13,0,3,74,35,2,1,33,1,4,48,7,0.346,0.353,0.699,12,0.233,0.235,16,49,66,0.74,4,0.69,4.23,0.103,26.7,0.245
이호준,롯데,54598,0.242,99,153,132,20,32,7,4,3,56,23,3,1,14,0,3,33,3,0.424,0.327,0.751,6,0.313,0.000,14,32,36,0.89,3,0.42,3.83,0.182,18.6,0.253
나승엽,롯데,51551,0.229,105,392,328,40,75,12,2,9,118,44,3,1,55,2,5,65,10,0.360,0.347,0.707,13,0.275,0.571,23,87,102,0.85,11,0.85,4.16,0.131,43.4,0.246
김동혁,롯데,52504,0.225,93,114,89,19,20,4,1,0,26,6,4,0,18,0,3,26,3,0.292,0.373,0.665,4,0.235,0.000,5,29,14,2.07,1,0.69,3.88,0.067,12.3,0.241
정훈,롯데,60523,0.216,77,200,185,14,40,11,0,2,57,11,2,0,10,1,3,40,4,0.308,0.268,0.576,7,0.140,0.083,13,56,49,1.14,0,0.25,4.00,0.092,13.9,0.198
박승욱,롯데,62802,0.190,54,92,84,10,16,3,0,0,19,5,2,0,5,0,1,30,0,0.226,0.244,0.470,2,0.200,0.000,3,22,16,1.38,0,0.17,3.96,0.036,4.3,0.166
정보근,롯데,68518,0.186,93,152,129,4,24,4,1,1,33,15,4,0,18,1,1,39,4,0.256,0.291,0.547,3,0.293,0.000,6,40,26,1.54,2,0.46,3.86,0.070,9.6,0.195
신윤후,롯데,69508,0.167,12,13,12,1,2,0,0,0,2,0,1,0,0,0,0,3,0,0.167,0.167,0.334,0,0.000,0.000,0,3,4,0.75,0,0.00,3.31,0.000,0.3,0.117
최항,롯데,62884,0.167,8,7,6,1,1,0,0,0,1,1,0,0,1,0,0,4,0,0.167,0.286,0.453,0,0.250,0.000,0,0,1,0.00,0,0.25,4.43,0.000,0.4,0.170
손성빈,롯데,51528,0.145,51,69,62,6,9,0,0,1,12,3,2,0,4,0,1,20,1,0.194,0.209,0.403,0,0.125,0.000,1,16,17,0.94,0,0.20,3.83,0.048,1.9,0.143
조세진,롯데,52516,0.143,12,9,7,1,1,0,0,0,1,0,0,0,2,0,0,4,0,0.143,0.333,0.476,0,0.000,0.000,0,2,0,-,0,0.50,4.11,0.000,0.6,0.186
한승현,롯데,55506,0.059,19,19,17,1,1,0,0,0,1,1,0,1,1,0,0,6,0,0.059,0.105,0.164,0,0.000,0.000,0,6,5,1.20,0,0.17,3.47,0.000,-0.4,0.062
강성우,롯데,54567,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,-0.3,0.000
