선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
김정호,NC,51903,0.444,8,11,9,3,4,0,0,0,4,0,1,0,0,0,1,4,0,0.444,0.500,0.944,1,0.000,0.000,0,0,1,0.00,0,0.00,2.73,0.000,1.9,0.336
김한별,NC,50902,0.313,76,72,64,14,20,2,0,0,22,5,2,0,3,0,3,5,2,0.344,0.371,0.715,3,0.429,0.000,2,26,13,2.00,0,0.60,3.78,0.031,8.0,0.253
박민우,NC,62907,0.302,117,468,404,64,122,25,8,3,172,67,4,4,44,5,12,64,5,0.426,0.384,0.810,37,0.432,0.167,36,109,113,0.96,6,0.69,3.66,0.124,68.6,0.279
데이비슨,NC,54944,0.293,112,439,386,63,113,18,0,36,239,97,0,14,31,1,8,118,10,0.619,0.346,0.965,30,0.237,0.000,54,66,103,0.64,9,0.26,3.72,0.326,83.6,0.310
김주원,NC,51907,0.289,144,624,539,98,156,26,8,15,243,65,4,2,63,1,16,111,8,0.451,0.379,0.830,40,0.306,0.333,49,112,162,0.69,3,0.57,3.94,0.161,95.9,0.283
박건우,NC,79215,0.289,124,442,384,43,111,24,1,9,164,67,1,5,47,2,5,63,6,0.427,0.370,0.797,30,0.306,0.400,34,106,109,0.97,5,0.75,3.72,0.138,61.7,0.273
최정원,NC,69992,0.275,91,155,120,40,33,3,0,0,36,11,4,1,18,0,12,22,0,0.300,0.417,0.717,9,0.194,0.250,3,50,16,3.13,3,0.82,3.75,0.025,23.4,0.263
서호철,NC,69995,0.266,103,292,263,25,70,7,1,3,88,30,10,4,8,0,7,51,7,0.335,0.301,0.636,16,0.247,0.143,11,76,70,1.09,3,0.16,3.63,0.068,26.8,0.219
박영빈,NC,50906,0.250,16,5,4,8,1,0,0,0,1,1,0,0,1,0,0,2,0,0.250,0.400,0.650,0,1.000,0.000,0,0,1,0.00,0,0.50,4.20,0.000,0.6,0.243
오태양,NC,51996,0.250,14,13,12,6,3,0,0,0,3,1,0,0,1,0,0,3,0,0.250,0.308,0.558,0,0.750,0.000,0,6,0,-,0,0.33,3.85,0.000,1.0,0.201
이우성,NC,63260,0.250,105,337,300,28,75,22,1,3,108,33,1,3,31,0,2,66,8,0.360,0.321,0.681,19,0.213,0.385,26,91,71,1.28,1,0.47,3.79,0.110,34.4,0.234
김휘집,NC,51344,0.249,142,500,429,64,107,18,2,17,180,56,2,2,40,0,27,89,9,0.420,0.349,0.769,29,0.242,0.333,37,95,140,0.68,11,0.45,3.90,0.170,66.3,0.262
권희동,NC,63963,0.246,136,456,358,56,88,24,0,6,130,39,8,2,77,0,11,80,10,0.363,0.393,0.756,21,0.247,0.077,30,103,89,1.16,4,0.96,4.47,0.117,56.6,0.268
최원준,NC,66606,0.242,126,449,413,62,100,13,3,6,137,44,2,5,23,0,6,71,5,0.332,0.289,0.621,24,0.224,0.200,22,132,115,1.15,3,0.32,3.78,0.090,43.4,0.213
천재환,NC,67905,0.238,129,294,261,47,62,10,3,6,96,31,6,5,17,0,5,58,3,0.368,0.292,0.660,12,0.242,0.200,19,69,77,0.90,3,0.29,3.65,0.130,31.6,0.223
오영수,NC,68904,0.232,67,179,155,14,36,5,0,3,50,23,0,0,22,0,2,47,0,0.323,0.335,0.658,9,0.262,0.273,8,39,33,1.18,3,0.47,4.05,0.090,18.9,0.232
김형준,NC,68912,0.232,127,415,362,51,84,10,1,18,150,55,3,2,45,0,3,126,7,0.414,0.320,0.734,18,0.290,0.250,29,59,95,0.62,7,0.36,4.10,0.182,50.8,0.248
박시원,NC,50996,0.204,52,60,54,12,11,2,0,1,16,4,1,0,5,0,0,18,1,0.296,0.271,0.567,0,0.250,0.375,3,12,13,0.92,1,0.28,3.62,0.093,4.4,0.196
고승완,NC,54908,0.200,17,11,10,5,2,0,0,0,2,0,0,0,1,0,0,5,0,0.200,0.273,0.473,0,0.000,0.333,0,3,0,-,0,0.20,4.45,0.000,0.6,0.173
송승환,NC,69203,0.200,13,15,15,0,3,1,0,0,4,2,0,0,0,0,0,6,0,0.267,0.200,0.467,0,0.667,0.286,1,5,1,5.00,0,0.00,3.47,0.067,0.6,0.157
한석현,NC,64101,0.195,61,138,113,18,22,5,0,3,36,21,4,2,12,0,7,27,1,0.319,0.306,0.625,6,0.267,0.167,8,32,34,0.94,0,0.44,3.78,0.124,13.4,0.217
한재환,NC,50903,0.185,16,31,27,2,5,0,0,0,5,4,0,0,2,0,2,14,0,0.185,0.290,0.475,0,0.300,0.200,0,2,6,0.33,0,0.14,4.42,0.000,1.8,0.177
도태훈,NC,66965,0.182,61,98,77,9,14,4,1,1,23,8,6,0,7,0,8,16,2,0.299,0.315,0.614,2,0.200,0.000,6,25,22,1.14,0,0.44,3.60,0.117,8.7,0.217
홍종표,NC,50600,0.164,62,85,73,16,12,0,0,0,12,3,4,1,7,0,0,23,1,0.164,0.235,0.399,1,0.091,0.000,0,25,14,1.79,0,0.30,4.00,0.000,2.4,0.147
박세혁,NC,62244,0.163,48,93,86,8,14,3,0,2,23,10,0,1,5,0,1,28,4,0.267,0.215,0.482,3,0.219,0.091,5,17,28,0.61,3,0.18,3.96,0.105,3.9,0.164
