선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
김태윤,SSG,52803,0.500,8,4,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0.500,0.750,1.250,0,0.000,1.000,0,0,1,0.00,0,-,5.75,0.000,1.0,0.463
정현승,SSG,54815,0.500,3,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,0.500,1.500,0,0.000,0.000,1,0,1,0.00,0,-,5.00,0.500,0.6,0.475
에레디아,SSG,53827,0.339,96,415,375,46,127,18,0,13,184,54,0,2,31,4,7,62,9,0.491,0.398,0.889,36,0.366,0.000,31,89,99,0.90,4,0.50,3.45,0.152,66.4,0.302
현원회,SSG,50840,0.305,21,62,59,6,18,1,0,1,22,6,0,0,3,0,0,16,3,0.373,0.339,0.712,4,0.235,0.500,2,14,11,1.27,1,0.19,4.23,0.068,6.3,0.246
류효승,SSG,50868,0.287,27,103,94,18,27,5,0,6,50,16,0,0,7,0,2,28,1,0.532,0.350,0.882,7,0.273,0.500,11,15,24,0.63,3,0.25,4.03,0.245,16.4,0.291
최지훈,SSG,50854,0.284,140,574,517,66,147,16,4,7,192,45,4,5,43,2,5,87,2,0.371,0.342,0.713,37,0.280,0.286,27,117,171,0.68,6,0.49,3.91,0.087,72.0,0.247
고명준,SSG,51868,0.278,130,500,471,46,131,20,1,17,204,64,0,7,20,1,2,99,12,0.433,0.306,0.739,43,0.235,0.000,38,124,124,1.00,11,0.20,3.38,0.155,60.9,0.246
박성한,SSG,67893,0.274,127,538,452,73,124,23,2,7,172,48,2,2,79,1,3,93,6,0.381,0.384,0.765,31,0.275,0.500,32,125,112,1.12,5,0.85,4.51,0.106,69.8,0.268
한유섬,SSG,62895,0.273,128,511,455,50,124,24,0,15,193,71,1,2,46,3,7,120,6,0.424,0.347,0.771,36,0.291,0.333,39,94,119,0.79,8,0.38,3.95,0.152,67.1,0.262
석정우,SSG,52804,0.265,27,54,49,3,13,1,0,2,20,4,0,0,4,0,1,18,1,0.408,0.333,0.741,0,0.300,0.000,3,10,8,1.25,1,0.22,4.19,0.143,6.5,0.252
안상현,SSG,66864,0.264,102,289,258,38,68,8,2,6,98,15,9,2,18,0,2,85,2,0.380,0.314,0.694,19,0.200,0.000,16,56,51,1.10,1,0.21,3.87,0.116,33.0,0.236
정준재,SSG,54812,0.245,132,442,371,58,91,10,3,0,107,25,16,1,51,0,3,93,4,0.288,0.340,0.628,21,0.276,0.267,13,114,74,1.54,4,0.55,3.92,0.043,45.4,0.225
최정,SSG,75847,0.244,95,406,340,54,83,12,0,23,164,63,0,3,51,6,12,94,10,0.482,0.360,0.842,22,0.247,0.000,35,61,105,0.58,9,0.54,4.06,0.238,60.3,0.283
이지영,SSG,79456,0.239,76,216,197,13,47,6,1,3,64,18,4,2,11,0,2,22,8,0.325,0.283,0.608,14,0.177,0.000,10,73,57,1.28,2,0.50,3.29,0.086,16.9,0.209
조형우,SSG,51865,0.238,102,294,269,23,64,8,0,4,84,29,1,2,19,0,3,64,5,0.312,0.294,0.606,13,0.244,0.000,12,69,74,0.93,3,0.30,3.85,0.074,25.0,0.210
이율예,SSG,55832,0.231,8,13,13,3,3,0,0,3,12,7,0,0,0,0,0,6,0,0.923,0.231,1.154,0,0.250,0.000,3,1,3,0.33,1,0.00,4.54,0.692,3.4,0.335
김성현,SSG,76802,0.217,59,137,115,15,25,3,0,1,31,11,4,1,16,0,1,20,4,0.270,0.316,0.586,2,0.226,0.375,4,38,33,1.15,0,0.80,3.66,0.052,10.5,0.210
맥브룸,SSG,55844,0.203,22,80,74,8,15,3,0,4,30,11,0,0,5,2,1,28,2,0.405,0.263,0.668,4,0.261,0.000,7,17,14,1.21,0,0.18,4.23,0.203,7.5,0.220
오태곤,SSG,60558,0.201,122,229,194,31,39,6,0,5,60,26,3,1,30,0,1,59,4,0.309,0.310,0.619,9,0.196,0.242,11,53,44,1.20,6,0.51,3.85,0.108,22.6,0.217
이승민,SSG,54806,0.200,2,5,5,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.000,1.000,0,1,1,1.00,0,0.00,4.20,0.000,0.1,0.140
홍대인,SSG,55897,0.200,14,5,5,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.000,0.000,0,1,1,1.00,0,0.00,3.60,0.000,0.0,0.140
김성욱,SSG,62934,0.195,56,132,123,10,24,6,0,2,36,13,1,0,7,0,1,35,2,0.293,0.244,0.537,5,0.189,0.000,8,29,35,0.83,1,0.20,3.72,0.098,7.6,0.183
최준우,SSG,68868,0.191,78,192,152,17,29,0,0,3,38,22,3,4,30,0,3,47,3,0.250,0.328,0.578,5,0.262,0.148,3,51,29,1.76,3,0.64,4.03,0.059,17.9,0.210
채현우,SSG,69804,0.188,41,52,48,8,9,1,1,1,15,9,0,1,3,0,0,13,1,0.313,0.231,0.544,2,0.231,0.000,3,15,12,1.25,1,0.23,3.52,0.125,4.0,0.182
신범수,SSG,66662,0.182,29,39,33,1,6,1,0,1,10,3,0,0,5,0,1,7,0,0.303,0.308,0.611,0,0.143,0.400,2,7,13,0.54,0,0.71,3.41,0.121,3.7,0.214
김찬형,SSG,66917,0.178,44,78,73,4,13,2,0,0,15,5,1,0,3,0,1,13,3,0.205,0.221,0.426,3,0.250,0.000,2,24,23,1.04,0,0.23,4.06,0.027,1.7,0.151
박지환,SSG,54805,0.150,31,68,60,3,9,0,0,0,9,4,3,1,4,0,0,19,1,0.150,0.200,0.350,1,0.176,0.000,0,15,18,0.83,0,0.21,3.53,0.000,0.9,0.128
최상민,SSG,68805,0.143,23,9,7,5,1,0,0,0,1,1,0,0,1,0,1,5,0,0.143,0.333,0.476,0,0.000,0.000,0,1,0,-,0,0.20,4.67,0.000,0.5,0.186
하재훈,SSG,69813,0.143,18,61,56,6,8,0,0,3,17,8,0,1,4,0,0,21,1,0.304,0.197,0.501,1,0.167,0.000,3,14,14,1.00,1,0.19,3.72,0.161,3.2,0.165
김수윤,SSG,67900,0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0.091,0.167,0.258,0,0.000,0.000,0,3,3,1.00,0,0.00,3.92,0.000,-0.1,0.098
김강민,SSG,71837,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김건우,SSG,51867,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김창평,SSG,69825,-,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김택형,SSG,65343,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
노경은,SSG,73211,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이로운,SSG,53892,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이정범,SSG,67807,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,0,1,0.00,0,0.00,4.67,0.000,-0.3,0.000
임근우,SSG,52807,0.000,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,2,2,1.00,0,0.00,3.80,0.000,-0.5,0.000
전영준,SSG,52809,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
조병현,SSG,51897,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최민준,SSG,68856,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최현석,SSG,54803,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
한두솔,SSG,68092,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
