선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김민재,KIA,54608,0.00,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.00,0,0,0,0,8,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1.50
유지성,KIA,50604,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2.00
성영탁,KIA,54610,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97,0,0,0,0,198,753,6,0,2,1,0,1,0,0,0,3,5,5,0,7,69,46,1.50
네일,KIA,54640,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07,0,0,19,0,664,2521,18,1,7,2,0,4,0,27,8,0,0,0,0,18,204,110,1.85
김현수,KIA,69516,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64,0,0,0,0,86,309,3,1,1,1,5,2,0,0,0,0,12,0,0,0,16,27,0.59
김기훈,KIA,69620,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27,0,0,0,0,117,464,8,1,1,3,0,2,0,0,0,1,2,1,0,0,15,38,0.39
전상현,KIA,66609,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.20,0,0,0,7,290,1048,15,0,1,3,3,3,0,0,0,7,5,31,0,7,75,78,0.96
올러,KIA,55633,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15,1,0,16,0,620,2490,25,3,5,6,0,2,0,26,11,0,1,0,0,5,123,143,0.86
정해영,KIA,50662,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51,0,0,0,7,275,1117,13,0,1,2,1,1,0,0,0,3,50,35,2,6,59,47,1.26
조상우,KIA,63342,3.90,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52,0,0,0,3,271,1113,15,0,6,1,3,2,0,0,0,6,7,33,0,4,58,55,1.05
윤중현,KIA,68619,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65,0,0,0,0,48,159,4,0,1,0,2,1,0,0,0,1,6,0,0,0,12,11,1.09
유승철,KIA,67640,4.50,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.50,0,0,0,0,11,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0.50
김태형,KIA,55610,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35,0,0,0,0,107,422,4,0,3,0,0,1,1,3,0,0,1,0,0,1,28,25,1.12
이준영,KIA,65665,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38,0,0,0,1,145,569,10,0,1,0,2,1,0,0,0,3,5,10,0,5,35,27,1.30
김도현,KIA,69745,4.81,24,4,7,0,0,0.364,125 1/3,149,11,33,10,71,79,67,1.45,0,0,9,0,561,2068,28,4,7,7,0,5,1,24,4,0,0,0,0,8,148,143,1.03
