선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
이종준,LG,50904,0.00,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.60,0,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,-
김강률,LG,77263,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22,0,0,0,0,51,182,1,0,0,0,0,0,0,0,0,1,4,4,0,2,16,10,1.60
이우찬,LG,61145,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42,0,0,0,0,86,338,2,0,1,0,0,3,0,0,0,0,6,4,0,0,18,19,0.95
김영우,LG,55167,2.40,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32,0,0,0,3,255,957,13,0,5,2,2,5,0,0,0,3,11,14,0,6,53,59,0.90
유영찬,LG,50106,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32,0,0,0,1,177,672,7,0,1,1,3,3,0,0,0,2,35,23,7,3,37,30,1.23
톨허스트,LG,55130,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25,0,0,5,0,184,713,7,1,1,1,1,1,0,8,6,0,0,0,0,4,43,38,1.13
임찬규,LG,61101,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27,1,1,15,0,670,2490,38,3,5,4,1,1,0,27,11,0,1,0,0,19,175,174,1.01
치리노스,LG,55146,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18,0,0,17,0,737,2809,26,1,8,1,0,4,0,30,13,0,0,0,0,11,251,123,2.04
손주영,LG,67143,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32,0,0,14,0,644,2496,20,2,5,3,0,6,0,27,11,0,0,0,0,23,187,114,1.64
김진성,LG,75867,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.20,0,0,0,7,291,1235,7,3,2,7,1,1,0,0,0,6,2,35,0,3,51,90,0.57
송승기,LG,51111,3.50,28,11,6,0,0,0.647,144,149,15,49,1,125,61,56,1.38,0,0,10,0,629,2523,25,1,5,4,0,2,0,27,11,0,0,0,0,6,109,191,0.57
백승현,LG,65109,3.90,33,1,0,0,2,1.000,30,28,2,28,1,27,13,13,1.87,0,0,0,0,146,583,3,1,2,1,1,3,0,0,0,1,9,5,0,1,30,30,1.00
에르난데스,LG,54119,4.23,14,4,4,0,0,0.500,66,53,7,24,5,73,32,31,1.17,0,0,7,0,276,1142,14,0,0,5,0,3,0,14,4,0,0,0,0,2,49,72,0.68
장현식,LG,63950,4.35,56,3,3,10,5,0.500,49 2/3,65,4,21,5,38,27,24,1.73,0,0,0,1,234,884,16,1,3,0,1,4,0,0,0,3,14,18,1,7,63,39,1.62
우강훈,LG,51526,4.66,11,0,0,0,0,-,9 2/3,12,0,6,2,5,5,5,1.86,0,0,0,0,46,180,2,0,0,1,0,0,0,0,0,0,4,0,0,4,13,8,1.63
박명근,LG,53139,4.89,44,3,4,4,10,0.429,38 2/3,36,5,16,5,30,21,21,1.34,0,0,0,1,168,638,5,1,2,1,2,0,1,0,0,3,13,14,0,3,36,43,0.84
이정용,LG,69134,5.03,39,6,1,1,7,0.857,34,32,3,12,2,26,19,19,1.29,0,0,0,1,139,575,3,1,1,0,0,0,0,0,0,6,3,12,0,7,30,36,0.83
최지명,LG,68419,5.28,13,0,1,0,2,0.000,29,35,3,14,1,21,17,17,1.69,0,0,0,0,132,507,6,2,0,1,0,2,0,4,0,0,3,1,0,2,24,37,0.65
이지강,LG,69108,5.32,43,1,2,3,4,0.333,47 1/3,50,4,24,1,39,29,28,1.56,0,0,0,1,211,883,9,2,0,1,0,1,1,1,0,1,7,9,0,4,53,44,1.20
김종운,LG,55122,5.40,2,0,0,0,0,-,1 2/3,2,2,0,0,2,3,1,1.20,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2.00
배재준,LG,63145,5.54,14,0,0,0,1,-,13,9,1,7,1,14,8,8,1.23,0,0,0,0,56,234,4,0,0,1,0,1,0,0,0,0,5,2,0,0,12,13,0.92
함덕주,LG,63248,6.00,31,2,3,0,1,0.400,27,14,1,18,0,26,19,18,1.19,0,0,0,0,113,463,5,0,4,3,0,3,0,0,0,2,5,1,0,1,15,36,0.42
코엔 윈,LG,55138,7.04,5,1,1,0,0,0.500,23,28,4,4,5,8,19,18,1.39,0,0,1,0,107,408,7,0,2,1,0,0,0,5,1,0,0,0,0,1,31,29,1.07
김진수,LG,51154,9.00,4,0,0,0,0,-,5,11,2,1,0,6,5,5,2.40,0,0,0,0,27,104,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0.80
성동현,LG,68159,9.00,12,0,0,0,0,-,9,10,2,9,0,6,9,9,2.11,0,0,0,0,45,201,0,0,1,0,0,1,0,0,0,0,6,0,0,0,10,9,1.11
김유영,LG,64596,12.46,6,0,0,0,0,-,4 1/3,8,0,4,1,5,6,6,2.77,0,0,0,0,26,108,3,0,1,0,0,0,0,0,0,0,4,0,0,0,2,5,0.40
박시원,LG,55121,13.50,2,0,0,0,0,-,1 1/3,0,0,5,0,0,2,2,3.75,0,0,0,0,9,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0.33
정우영,LG,69159,20.25,4,0,0,0,0,-,2 2/3,1,1,4,1,3,6,6,1.88,0,0,0,0,13,56,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,-
김주온,LG,65411,27.00,1,0,1,0,0,0.000,1/3,0,0,2,2,1,1,1,6.00,0,0,0,0,5,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-
