선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김대우,삼성,61365,0.00,2,0,0,0,1,-,2/3,1,0,0,0,0,0,0,1.50,0,0,0,0,3,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.00
양현,삼성,61268,0.00,4,0,0,0,0,-,3 1/3,2,0,3,0,1,0,0,1.50,0,0,0,1,15,65,0,0,0,0,0,0,0,0,0,0,3,1,0,0,7,2,3.50
이상민,삼성,63960,0.00,1,0,0,0,0,-,1,2,0,0,0,1,0,0,2.00,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.00
이재익,삼성,63492,1.23,7,1,0,0,0,1.000,7 1/3,8,0,2,0,6,1,1,1.36,0,0,0,0,31,113,0,1,0,0,0,1,0,0,0,1,1,0,0,1,11,4,2.75
백정현,삼성,77446,1.95,29,2,0,1,3,1.000,32 1/3,19,1,7,2,31,7,7,0.80,0,0,0,2,128,505,6,0,2,2,0,0,0,1,0,2,8,8,0,0,34,33,1.03
후라도,삼성,53375,2.60,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.08,3,2,23,0,786,2921,17,3,5,1,0,3,0,30,15,0,3,0,0,23,249,173,1.44
가라비토,삼성,55460,2.64,15,4,4,0,0,0.500,78 1/3,56,6,37,6,84,31,23,1.19,0,0,4,0,327,1356,5,0,4,0,1,2,0,15,4,0,0,0,0,6,80,60,1.33
이재희,삼성,51460,3.00,11,0,2,0,4,0.000,9,7,0,5,0,9,3,3,1.33,0,0,0,0,39,157,1,1,0,0,0,0,0,0,0,0,1,3,0,0,5,13,0.38
원태인,삼성,69446,3.24,27,12,4,0,0,0.750,166 2/3,157,20,27,6,108,66,60,1.10,0,0,20,0,671,2493,32,2,11,6,1,1,0,27,12,0,0,0,0,18,173,189,0.92
양창섭,삼성,68415,3.43,33,3,3,0,2,0.500,63,67,3,19,9,45,29,24,1.37,0,0,0,0,276,969,10,0,3,4,1,4,0,6,0,3,6,3,0,8,69,64,1.08
이승민,삼성,50464,3.78,62,3,2,0,8,0.600,64 1/3,61,5,26,3,53,37,27,1.35,0,0,0,0,280,1068,15,2,5,1,2,1,0,1,0,3,11,7,0,2,66,66,1.00
배찬승,삼성,55455,3.91,65,2,3,0,19,0.400,50 2/3,50,3,34,2,57,25,22,1.66,0,0,0,2,233,962,11,0,4,0,1,5,0,0,0,2,5,19,0,5,49,37,1.32
레예스,삼성,54443,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26,0,0,2,0,215,844,7,1,3,4,0,0,0,10,4,0,0,0,0,1,53,58,0.91
김태훈,삼성,62360,4.48,73,2,6,2,19,0.250,66 1/3,66,8,26,2,74,34,33,1.39,0,0,0,5,287,1122,13,0,1,3,3,4,0,0,0,2,9,29,0,7,51,67,0.76
송은범,삼성,73801,4.50,5,0,0,0,0,-,6,9,0,3,0,2,3,3,2.00,0,0,0,0,28,93,2,0,1,0,0,3,0,0,0,0,3,0,0,3,7,6,1.17
홍원표,삼성,50430,4.50,2,0,1,0,0,0.000,2,3,0,2,1,1,1,1,2.50,0,0,0,0,12,40,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,4,0.00
임창민,삼성,78352,4.85,16,1,0,0,2,1.000,13,17,5,7,1,6,8,7,1.85,0,0,0,1,63,263,2,0,1,1,1,0,0,0,0,1,1,3,0,2,12,19,0.63
최원태,삼성,65320,4.92,27,8,7,0,0,0.533,124 1/3,128,13,51,12,109,72,68,1.44,0,0,8,0,552,2137,21,0,10,7,1,9,0,24,7,1,1,0,0,7,122,120,1.02
김재윤,삼성,65062,4.99,63,4,7,13,3,0.364,57 2/3,57,10,13,1,43,34,32,1.21,0,0,0,3,242,938,12,2,2,1,3,1,0,0,0,4,34,19,2,2,47,79,0.59
김대호,삼성,54401,5.14,11,0,1,0,0,0.000,21,25,3,15,1,19,13,12,1.90,0,0,0,0,105,392,6,0,1,2,0,1,0,4,0,0,5,0,0,2,23,21,1.10
육선엽,삼성,54404,5.34,27,0,1,0,1,0.000,28 2/3,23,4,24,0,19,21,17,1.64,0,0,0,0,133,564,3,0,3,0,0,2,0,1,0,0,8,2,0,3,28,36,0.78
이승현,삼성,51454,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,2,0,471,1840,23,2,7,3,0,2,0,23,4,0,0,0,0,7,115,99,1.16
이승현,삼성,51454,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,2,0,471,1840,23,2,7,3,0,2,0,0,0,2,7,9,0,0,29,42,0.69
이승현,삼성,51454,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,0,1,161,648,7,0,6,1,1,1,0,23,4,0,0,0,0,7,115,99,1.16
이승현,삼성,51454,5.42,25,4,9,0,0,0.308,101 1/3,121,10,46,9,74,64,61,1.65,0,0,0,1,161,648,7,0,6,1,1,1,0,0,0,2,7,9,0,0,29,42,0.69
이승현,삼성,60146,6.31,42,2,1,0,11,0.667,35 2/3,43,9,11,1,29,26,25,1.51,0,0,2,0,471,1840,23,2,7,3,0,2,0,23,4,0,0,0,0,7,115,99,1.16
