playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
50167,1,이주형,키움,중견수,119,110,967,1,0,328,2,0,0.997,0,0,0,-
65357,2,송성문,키움,3루수,111,108,935 1/3,13,0,103,202,29,0.959,0,0,0,-
55392,3,어준서,키움,유격수,109,95,763,26,0,139,196,43,0.928,0,0,0,-
53312,4,김건희,키움,포수,104,85,731,5,2,532,64,7,0.992,11,54,28,34.1
76267,5,최주환,키움,1루수,97,95,819 1/3,6,0,698,47,67,0.992,0,0,0,-
64984,6,김태진,키움,2루수,64,48,430 2/3,3,0,93,138,29,0.987,0,0,0,-
62332,7,김재현,키움,포수,62,41,353,4,0,277,28,6,0.987,1,31,12,27.9
76118,8,원종현,키움,투수,61,0,54 1/3,1,0,4,7,0,0.917,0,0,0,-
53301,9,박윤성,키움,투수,54,0,51 2/3,0,0,5,7,1,1.000,0,0,0,-
67116,10,오석주,키움,투수,53,0,58 1/3,0,0,5,9,0,1.000,0,0,0,-
78756,11,오선진,키움,유격수,51,20,228,3,0,40,48,11,0.967,0,0,0,-
69360,11,조영건,키움,투수,51,6,77 2/3,0,0,0,6,0,1.000,0,0,0,-
64340,13,임지열,키움,좌익수,49,49,414,2,0,122,4,2,0.984,0,0,0,-
53344,14,김동헌,키움,포수,45,18,185,1,0,152,6,0,0.994,1,22,1,4.3
66018,15,김선기,키움,투수,44,8,78,0,0,2,6,0,1.000,0,0,0,-
52330,16,주승우,키움,투수,42,0,44,1,0,3,4,0,0.875,0,0,0,-
54444,16,카디네스,키움,우익수,42,40,322,2,0,61,4,1,0.970,0,0,0,-
50357,18,박주홍,키움,우익수,41,29,278 1/3,2,0,65,1,1,0.971,0,0,0,-
50357,18,박주홍,키움,좌익수,41,25,236 2/3,0,0,70,1,1,1.000,0,0,0,-
64340,20,임지열,키움,1루수,38,32,285 2/3,2,0,276,20,17,0.993,0,0,0,-
52395,21,윤석원,키움,투수,37,0,37 1/3,0,0,1,2,0,1.000,0,0,0,-
69332,21,주성원,키움,우익수,37,32,257 1/3,1,0,60,2,0,0.984,0,0,0,-
64984,23,김태진,키움,유격수,34,23,217,6,0,27,58,7,0.934,0,0,0,-
55397,23,전태현,키움,2루수,34,24,213,3,0,44,68,15,0.974,0,0,0,-
55301,25,이준우,키움,투수,31,0,23,0,0,1,4,0,1.000,0,0,0,-
54394,26,송지후,키움,2루수,30,25,212 1/3,2,0,53,74,8,0.984,0,0,0,-
67828,27,김성민,키움,투수,29,0,25,0,1,0,2,0,1.000,0,0,0,-
50036,27,이강준,키움,투수,29,0,24 2/3,2,0,0,5,1,0.714,0,0,0,-
52366,29,푸이그,키움,좌익수,28,28,232,2,0,45,1,0,0.958,0,0,0,-
64350,29,하영민,키움,투수,28,28,153 1/3,0,1,7,20,1,1.000,0,0,0,-
65357,31,송성문,키움,2루수,25,23,188,1,0,54,63,13,0.992,0,0,0,-
78756,32,오선진,키움,3루수,24,9,102 2/3,0,0,7,22,3,1.000,0,0,0,-
78756,33,오선진,키움,2루수,23,9,97 1/3,1,0,27,25,7,0.981,0,0,0,-
54362,34,전준표,키움,투수,21,1,20 1/3,0,0,0,2,0,1.000,0,0,0,-
54368,35,김연주,키움,투수,20,8,51 2/3,1,0,0,6,0,0.857,0,0,0,-
54319,36,김윤하,키움,투수,19,18,88,0,0,4,9,0,1.000,0,0,0,-
52305,36,박수종,키움,중견수,19,6,64,1,0,21,0,0,0.955,0,0,0,-
69045,36,알칸타라,키움,투수,19,19,121,1,0,5,13,0,0.947,0,0,0,-
64346,36,임병욱,키움,우익수,19,11,106 2/3,1,0,19,0,0,0.950,0,0,0,-
69328,40,박주성,키움,투수,18,6,52,1,0,5,8,0,0.929,0,0,0,-
67365,40,양지율,키움,투수,18,0,14,0,0,0,3,0,1.000,0,0,0,-
55313,40,정현우,키움,투수,18,18,81 1/3,1,0,3,14,1,0.944,0,0,0,-
55393,43,여동욱,키움,3루수,17,9,76,3,0,9,13,2,0.880,0,0,0,-
55396,43,윤현,키움,투수,17,3,22,0,0,1,1,0,1.000,0,0,0,-
64346,43,임병욱,키움,중견수,17,10,81,0,0,27,0,0,1.000,0,0,0,-
55394,46,박정훈,키움,투수,16,3,23,0,0,0,4,0,1.000,0,0,0,-
50357,47,박주홍,키움,중견수,14,8,66,1,0,28,1,1,0.967,0,0,0,-
55322,48,로젠버그,키움,투수,13,13,75 1/3,0,0,2,5,0,1.000,0,0,0,-
55326,48,스톤,키움,우익수,13,13,114,1,0,19,2,0,0.955,0,0,0,-
55397,48,전태현,키움,좌익수,13,7,60,0,0,17,0,0,1.000,0,0,0,-
55397,48,전태현,키움,3루수,13,9,80,1,0,5,13,1,0.947,0,0,0,-
78135,52,이형종,키움,좌익수,12,10,80 2/3,0,0,21,0,0,1.000,0,0,0,-
78135,52,이형종,키움,우익수,12,6,63 1/3,0,0,16,1,0,1.000,0,0,0,-
64346,54,임병욱,키움,좌익수,11,7,72 1/3,0,0,18,0,0,1.000,0,0,0,-
53164,55,김동규,키움,투수,9,0,8,0,0,0,0,0,-,0,0,0,-
52305,55,박수종,키움,우익수,9,3,35 2/3,0,0,11,1,1,1.000,0,0,0,-
54307,55,원성준,키움,우익수,9,4,36,0,0,4,0,0,1.000,0,0,0,-
55342,58,메르세데스,키움,투수,8,8,46 1/3,2,0,0,4,0,0.667,0,0,0,-
52305,58,박수종,키움,좌익수,8,0,23 1/3,0,0,11,0,0,1.000,0,0,0,-
78756,58,오선진,키움,1루수,8,1,19,0,0,19,1,1,1.000,0,0,0,-
55371,61,권혁빈,키움,2루수,7,5,32,0,0,7,8,2,1.000,0,0,0,-
55370,61,양현종,키움,3루수,7,2,17,1,0,1,2,0,0.750,0,0,0,-
54307,61,원성준,키움,좌익수,7,5,45,0,0,12,0,0,1.000,0,0,0,-
74163,61,이용규,키움,중견수,7,7,52,1,0,17,0,0,0.944,0,0,0,-
54344,65,고영우,키움,2루수,6,2,32,1,0,8,11,0,0.950,0,0,0,-
55371,65,권혁빈,키움,유격수,6,3,30,0,0,6,4,0,1.000,0,0,0,-
51359,65,장재영,키움,중견수,6,2,24,1,0,10,0,0,0.909,0,0,0,-
55397,65,전태현,키움,유격수,6,2,20,0,0,5,4,1,1.000,0,0,0,-
54444,65,카디네스,키움,1루수,6,6,54,2,0,42,5,1,0.959,0,0,0,-
50304,70,김병휘,키움,2루수,5,2,19 2/3,0,0,4,8,1,1.000,0,0,0,-
55339,70,염승원,키움,2루수,5,4,27,0,0,6,7,1,1.000,0,0,0,-
64340,70,임지열,키움,우익수,5,5,41,0,0,10,1,1,1.000,0,0,0,-
69332,70,주성원,키움,좌익수,5,5,32,1,0,11,1,0,0.923,0,0,0,-
62925,74,강진성,키움,1루수,4,2,19,0,0,17,1,2,1.000,0,0,0,-
54344,74,고영우,키움,3루수,4,2,19,1,0,1,3,0,0.800,0,0,0,-
55359,74,김서준,키움,투수,4,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
65898,74,김웅빈,키움,1루수,4,3,28,0,0,19,1,1,1.000,0,0,0,-
55300,74,손힘찬,키움,투수,4,0,4,0,0,0,1,0,1.000,0,0,0,-
55392,74,어준서,키움,3루수,4,4,26,3,0,2,1,0,0.500,0,0,0,-
55348,74,웰스,키움,투수,4,4,20,0,0,0,3,0,1.000,0,0,0,-
55382,74,임진묵,키움,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-
55377,74,정세영,키움,투수,4,1,2 2/3,0,0,0,0,0,-,0,0,0,-
50357,83,박주홍,키움,1루수,3,0,5,0,0,2,0,1,1.000,0,0,0,-
68305,83,변상권,키움,좌익수,3,2,15,0,0,5,0,0,1.000,0,0,0,-
55326,83,스톤,키움,좌익수,3,3,26,0,0,6,0,0,1.000,0,0,0,-
55393,83,여동욱,키움,1루수,3,3,21,1,0,20,0,2,0.952,0,0,0,-
51359,83,장재영,키움,좌익수,3,0,5,0,0,0,0,0,-,0,0,0,-
55371,88,권혁빈,키움,중견수,2,1,10,0,0,2,0,0,1.000,0,0,0,-
50304,88,김병휘,키움,유격수,2,0,4,0,0,0,2,0,1.000,0,0,0,-
68305,88,변상권,키움,우익수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
53309,88,서유신,키움,2루수,2,2,17,0,0,3,4,0,1.000,0,0,0,-
53309,88,서유신,키움,3루수,2,0,2,0,0,0,0,0,-,0,0,0,-
54363,88,손현기,키움,투수,2,0,3,0,0,0,0,0,-,0,0,0,-
54394,88,송지후,키움,유격수,2,0,3,0,0,1,1,0,1.000,0,0,0,-
55370,88,양현종,키움,1루수,2,2,14,0,0,11,0,0,1.000,0,0,0,-
74163,88,이용규,키움,우익수,2,0,3,0,0,1,0,0,1.000,0,0,0,-
74163,88,이용규,키움,좌익수,2,1,8,0,0,2,0,0,1.000,0,0,0,-
51302,88,이주형,키움,1루수,2,0,2,0,0,1,0,0,1.000,0,0,0,-
51359,88,장재영,키움,우익수,2,1,10,0,0,0,0,0,-,0,0,0,-
54444,88,카디네스,키움,좌익수,2,2,17,0,0,2,0,0,1.000,0,0,0,-
54344,101,고영우,키움,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-
55371,101,권혁빈,키움,좌익수,1,0,2,0,0,2,0,0,1.000,0,0,0,-
64984,101,김태진,키움,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
53309,101,서유신,키움,유격수,1,0,1,1,0,0,0,0,0.000,0,0,0,-
54394,101,송지후,키움,3루수,1,0,3,0,0,0,1,0,1.000,0,0,0,-
54307,101,원성준,키움,중견수,1,0,2,0,0,0,0,0,-,0,0,0,-
53302,101,이승원,키움,3루수,1,1,5,1,0,0,0,0,0.000,0,0,0,-
75566,101,이원석,키움,1루수,1,0,2,0,0,4,0,1,1.000,0,0,0,-
54305,101,이재상,키움,유격수,1,1,2,1,0,0,0,0,0.000,0,0,0,-
54305,101,이재상,키움,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
64340,101,임지열,키움,중견수,1,0,3,0,0,1,0,0,1.000,0,0,0,-
