playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
54529,1,레이예스,롯데,좌익수,98,88,752 2/3,1,0,146,3,1,0.993,0,0,0,-
61102,1,유강남,롯데,포수,98,92,641 1/3,2,0,588,47,3,0.997,5,66,6,8.3
51551,3,나승엽,롯데,1루수,94,91,738 1/3,8,0,667,44,54,0.989,0,0,0,-
68205,4,전민재,롯데,유격수,93,87,726 2/3,15,0,116,209,50,0.956,0,0,0,-
68518,4,정보근,롯데,포수,93,34,397,2,0,374,21,1,0.995,6,28,5,15.2
52591,6,윤동희,롯데,우익수,85,73,646 2/3,3,0,130,2,0,0.978,0,0,0,-
68507,7,장두성,롯데,중견수,82,46,467 1/3,2,0,135,2,0,0.986,0,0,0,-
54537,7,정현수,롯데,투수,82,0,47 2/3,0,0,3,4,0,1.000,0,0,0,-
68242,9,정철원,롯데,투수,75,0,70,0,0,0,9,1,1.000,0,0,0,-
50150,10,손호영,롯데,3루수,74,71,614 2/3,16,0,55,117,14,0.915,0,0,0,-
52568,11,한태양,롯데,2루수,71,56,500 1/3,6,0,127,143,30,0.978,0,0,0,-
65522,12,김강현,롯데,투수,67,0,72,0,1,1,6,0,1.000,0,0,0,-
50500,13,황성빈,롯데,중견수,66,61,482 1/3,3,0,102,3,1,0.972,0,0,0,-
54598,14,이호준,롯데,유격수,63,32,340 1/3,9,0,47,105,18,0.944,0,0,0,-
69517,15,고승민,롯데,2루수,60,58,449 1/3,4,0,93,165,34,0.985,0,0,0,-
77564,16,김민성,롯데,3루수,58,43,358 1/3,5,0,17,75,5,0.948,0,0,0,-
62528,17,김원중,롯데,투수,53,0,60 2/3,0,0,1,13,0,1.000,0,0,0,-
69594,18,박진,롯데,투수,51,5,69 1/3,0,0,6,4,0,1.000,0,0,0,-
51528,19,손성빈,롯데,포수,50,15,189 1/3,1,0,150,15,0,0.994,1,7,5,41.7
78513,20,전준우,롯데,좌익수,49,48,384,0,0,68,4,1,1.000,0,0,0,-
50556,20,최준용,롯데,투수,49,0,54 1/3,1,1,1,7,0,0.889,0,0,0,-
51594,22,송재영,롯데,투수,46,0,27,0,0,0,3,1,1.000,0,0,0,-
69517,23,고승민,롯데,1루수,45,33,299,1,0,268,18,24,0.997,0,0,0,-
76430,23,김태혁,롯데,투수,45,0,36 2/3,0,0,4,1,0,1.000,0,0,0,-
54598,25,이호준,롯데,2루수,33,1,64,0,0,11,21,7,1.000,0,0,0,-
52504,26,김동혁,롯데,중견수,32,15,164,0,0,51,0,0,1.000,0,0,0,-
60523,26,정훈,롯데,1루수,32,16,167 2/3,2,0,168,15,11,0.989,0,0,0,-
67588,28,윤성빈,롯데,투수,31,1,27,1,0,1,2,0,0.750,0,0,0,-
54529,29,레이예스,롯데,우익수,30,30,236,1,0,45,0,0,0.978,0,0,0,-
62802,29,박승욱,롯데,유격수,30,22,174,2,0,21,51,10,0.973,0,0,0,-
64021,31,박세웅,롯데,투수,29,28,160 2/3,1,1,5,26,1,0.969,0,0,0,-
67539,32,나균안,롯데,투수,28,26,137 1/3,1,1,6,13,0,0.950,0,0,0,-
55530,32,박찬형,롯데,3루수,28,21,195 1/3,3,0,15,33,4,0.941,0,0,0,-
50596,34,홍민기,롯데,투수,25,2,32,1,0,1,5,0,0.857,0,0,0,-
52504,35,김동혁,롯데,우익수,23,8,102 2/3,0,0,29,3,2,1.000,0,0,0,-
69517,36,고승민,롯데,우익수,22,21,165 2/3,1,0,40,1,0,0.976,0,0,0,-
55536,36,데이비슨,롯데,투수,22,22,123 1/3,2,0,6,12,1,0.900,0,0,0,-
52504,38,김동혁,롯데,좌익수,21,1,26,0,0,8,0,0,1.000,0,0,0,-
52530,39,이민석,롯데,투수,20,17,87 1/3,1,1,6,7,0,0.929,0,0,0,-
68507,39,장두성,롯데,좌익수,20,0,37,0,0,5,0,0,1.000,0,0,0,-
