선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
박지훈,두산,50204,0.417,37,55,48,11,20,4,0,1,27,8,1,0,5,0,1,12,1,0.563,0.481,1.044,4,0.571,0.667,5,6,10,0.60,0,0.42,3.69,0.146,11.1,0.357
홍성호,두산,66233,0.346,9,27,26,3,9,1,0,2,16,3,0,0,1,1,0,8,0,0.615,0.370,0.985,3,0.250,0.333,3,2,7,0.29,1,0.13,3.96,0.269,5.3,0.320
양의지,두산,76232,0.337,130,517,454,56,153,27,1,20,242,89,0,6,50,6,7,63,10,0.533,0.406,0.939,44,0.375,0.500,48,94,150,0.63,5,0.79,3.71,0.196,91.6,0.316
안재석,두산,51203,0.319,35,147,135,25,43,16,1,4,73,20,1,0,11,1,0,27,3,0.541,0.370,0.911,15,0.500,0.000,21,27,38,0.71,4,0.41,3.63,0.222,23.4,0.302
케이브,두산,55208,0.299,136,593,538,72,161,28,6,16,249,87,0,8,43,1,4,116,7,0.463,0.351,0.814,52,0.310,0.000,50,129,140,0.92,7,0.37,3.78,0.164,89.1,0.274
박준순,두산,55252,0.284,91,298,282,34,80,11,2,4,107,19,2,3,10,1,1,56,6,0.379,0.307,0.686,19,0.246,0.000,17,82,67,1.22,4,0.18,3.33,0.096,32.4,0.233
임종성,두산,54236,0.277,33,89,83,7,23,4,0,2,33,11,1,1,3,0,1,26,1,0.398,0.307,0.705,4,0.333,1.000,6,17,18,0.94,3,0.12,3.74,0.120,10.2,0.238
박계범,두산,64468,0.263,94,198,175,23,46,9,2,1,62,27,7,1,14,0,1,45,4,0.354,0.319,0.673,9,0.345,0.300,12,56,29,1.93,2,0.31,3.96,0.091,19.5,0.232
오명진,두산,50208,0.263,107,371,331,38,87,14,4,4,121,41,7,3,27,1,3,94,3,0.366,0.321,0.687,22,0.235,0.250,22,89,64,1.39,3,0.29,3.65,0.103,40.1,0.236
정수빈,두산,79231,0.258,132,546,462,89,119,16,4,6,161,38,8,4,61,2,11,57,7,0.348,0.355,0.703,27,0.212,1.000,26,182,108,1.69,1,1.07,3.96,0.091,63.5,0.247
양석환,두산,64153,0.248,72,294,262,32,65,16,0,8,105,31,0,3,24,1,5,82,6,0.401,0.320,0.721,17,0.222,0.000,24,42,76,0.55,3,0.29,4.11,0.153,34.0,0.244
김기연,두산,66112,0.247,100,245,219,19,54,9,0,2,69,24,4,2,19,0,1,44,8,0.315,0.307,0.622,12,0.228,0.278,11,72,51,1.41,2,0.43,3.57,0.068,20.6,0.217
조수행,두산,66209,0.244,108,140,119,30,29,4,0,0,33,9,7,0,14,0,0,29,1,0.277,0.323,0.600,6,0.167,0.500,4,42,19,2.21,1,0.48,3.77,0.034,14.9,0.215
이유찬,두산,67207,0.242,89,311,269,36,65,8,1,1,78,16,6,1,33,0,2,66,4,0.290,0.328,0.618,11,0.194,0.000,10,72,67,1.07,1,0.50,4.02,0.048,29.4,0.220
김재환,두산,78224,0.241,103,407,344,42,83,13,2,13,139,50,0,2,57,3,4,96,4,0.404,0.354,0.758,19,0.253,0.000,28,73,94,0.78,6,0.59,3.87,0.163,53.8,0.260
김동준,두산,52267,0.237,36,100,93,8,22,3,0,2,31,10,1,0,5,0,1,30,2,0.333,0.283,0.616,3,0.259,0.333,5,22,19,1.16,1,0.17,3.38,0.097,8.1,0.211
강승호,두산,63123,0.236,115,400,360,51,85,19,3,8,134,37,2,3,24,2,11,113,7,0.372,0.302,0.674,19,0.224,0.333,30,85,80,1.06,3,0.21,3.79,0.136,42.0,0.229
김민석,두산,53554,0.228,95,247,228,21,52,7,3,1,68,21,2,3,12,1,2,62,3,0.298,0.269,0.567,12,0.254,0.118,11,59,58,1.02,5,0.19,3.82,0.070,18.4,0.196
박준영,두산,66928,0.225,41,126,111,9,25,8,0,1,36,10,1,1,10,0,3,32,1,0.324,0.304,0.628,6,0.179,0.000,9,19,36,0.53,0,0.31,3.97,0.099,12.2,0.218
추재현,두산,68362,0.222,34,87,81,7,18,3,1,1,26,7,2,0,3,0,1,17,2,0.321,0.259,0.580,3,0.111,0.286,5,29,17,1.71,1,0.18,3.89,0.099,6.0,0.197
김인태,두산,63257,0.213,106,225,183,17,39,10,1,3,60,25,0,1,36,0,5,57,2,0.328,0.356,0.684,4,0.250,0.341,14,42,46,0.91,3,0.63,4.36,0.115,24.9,0.242
