선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
이승현,한화,55712,1.000,4,1,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,3.000,1.000,4.000,0,1.000,1.000,1,0,0,-,0,-,1.00,2.000,1.0,1.200
장규현,한화,51762,1.000,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.000,1.000,2.000,0,0.000,0.000,0,0,0,-,0,-,3.50,0.000,0.8,0.700
문현빈,한화,53764,0.320,141,592,528,71,169,30,2,12,239,80,5,11,38,2,10,82,11,0.453,0.370,0.823,53,0.319,0.250,44,148,140,1.06,13,0.46,3.62,0.133,88.0,0.280
리베라토,한화,55703,0.313,62,273,246,41,77,18,2,10,129,39,0,4,23,0,0,47,3,0.524,0.366,0.890,22,0.339,0.000,30,60,66,0.91,6,0.49,3.62,0.211,45.7,0.296
하주석,한화,62700,0.297,95,305,276,34,82,14,0,4,108,28,11,1,12,0,5,66,10,0.391,0.337,0.728,24,0.329,0.091,18,74,55,1.35,1,0.18,3.52,0.094,32.8,0.249
손아섭,한화,77532,0.288,111,416,372,39,107,22,3,1,138,50,4,2,37,2,1,59,3,0.371,0.352,0.723,24,0.310,0.222,26,133,75,1.77,3,0.63,3.79,0.083,47.8,0.251
채은성,한화,79192,0.288,132,527,480,54,138,27,1,19,224,88,3,0,31,5,13,96,4,0.467,0.347,0.814,39,0.333,0.000,47,117,129,0.91,10,0.32,3.72,0.179,74.5,0.273
최재훈,한화,78288,0.286,121,348,269,28,77,15,0,1,95,35,10,6,46,0,17,48,4,0.353,0.414,0.767,16,0.355,0.000,16,85,65,1.31,4,0.96,4.14,0.067,47.5,0.275
이진영,한화,66657,0.274,115,366,321,49,88,13,0,11,134,43,0,5,38,0,2,93,8,0.417,0.350,0.767,19,0.239,0.250,24,80,65,1.23,2,0.41,3.95,0.143,46.9,0.262
황영묵,한화,54795,0.273,117,286,260,40,71,17,1,1,93,22,2,1,20,0,2,37,4,0.358,0.329,0.687,18,0.300,0.455,19,96,57,1.68,4,0.54,3.64,0.085,29.1,0.238
플로리얼,한화,55734,0.271,65,285,258,36,70,18,2,8,116,29,0,2,24,2,1,65,2,0.450,0.333,0.783,21,0.222,0.000,28,56,69,0.81,3,0.37,3.86,0.178,39.8,0.262
김태연,한화,66704,0.261,120,340,303,40,79,15,0,3,103,20,6,0,23,0,8,62,10,0.340,0.329,0.669,19,0.197,0.067,18,72,90,0.80,1,0.37,3.74,0.079,32.0,0.233
이도윤,한화,65703,0.260,113,277,250,37,65,11,3,1,85,36,10,3,11,1,3,52,5,0.340,0.296,0.636,13,0.250,0.400,15,72,64,1.13,3,0.21,3.85,0.080,24.9,0.218
노시환,한화,69737,0.260,144,624,539,97,140,28,2,32,268,101,0,4,70,10,11,125,22,0.497,0.354,0.851,37,0.290,0.000,62,121,157,0.77,16,0.56,3.94,0.237,91.3,0.284
최인호,한화,50707,0.259,78,159,139,7,36,9,0,2,51,19,1,1,13,0,5,29,5,0.367,0.342,0.709,6,0.300,0.308,11,38,37,1.03,2,0.45,4.16,0.108,17.2,0.246
심우준,한화,64006,0.231,94,275,247,39,57,9,1,2,74,22,7,1,17,0,3,49,4,0.300,0.287,0.587,9,0.250,0.000,12,69,73,0.95,2,0.35,3.94,0.069,23.0,0.204
이원석,한화,68700,0.203,129,248,212,60,43,7,0,4,62,24,7,2,23,0,4,51,4,0.292,0.290,0.582,11,0.149,0.500,11,55,65,0.85,6,0.45,3.77,0.090,22.9,0.204
이상혁,한화,52704,0.200,39,12,10,14,2,1,0,0,3,2,1,0,0,0,1,3,0,0.300,0.273,0.573,0,0.250,0.000,1,2,3,0.67,0,0.00,3.17,0.100,0.1,0.198
이재원,한화,76812,0.200,98,151,125,4,25,2,1,1,32,12,8,3,14,0,1,23,3,0.256,0.280,0.536,3,0.162,0.000,4,46,34,1.35,0,0.61,3.46,0.056,10.5,0.190
안치홍,한화,79608,0.172,66,196,174,9,30,4,0,2,40,18,4,1,16,2,1,39,4,0.230,0.245,0.475,5,0.238,0.200,6,49,57,0.86,2,0.41,3.75,0.057,9.7,0.168
허인서,한화,52764,0.172,20,30,29,2,5,1,0,0,6,2,0,0,0,0,1,12,1,0.207,0.200,0.407,0,0.182,0.333,1,9,3,3.00,0,0.00,3.47,0.034,0.4,0.142
권광민,한화,52769,0.167,15,18,18,2,3,1,0,0,4,0,0,0,0,0,0,5,1,0.222,0.167,0.389,0,0.000,0.250,1,6,4,1.50,0,0.00,4.06,0.056,0.0,0.131
임종찬,한화,50704,0.167,17,35,30,2,5,1,0,1,9,2,0,0,5,0,0,13,0,0.300,0.286,0.586,1,0.200,0.000,2,4,8,0.50,0,0.38,4.20,0.133,3.4,0.204
유로결,한화,69766,0.154,20,16,13,1,2,0,0,0,2,0,2,0,0,0,1,4,0,0.154,0.214,0.368,0,0.000,0.000,0,4,3,1.33,0,0.00,2.81,0.000,0.6,0.135
김인환,한화,66715,0.080,10,26,25,2,2,0,0,1,5,3,0,0,1,0,0,9,1,0.200,0.115,0.315,0,0.167,0.000,1,8,6,1.33,1,0.11,4.46,0.120,-0.2,0.102
김서현,한화,53754,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김승일,한화,50711,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김종수,한화,63765,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박상원,한화,67703,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박정현,한화,50709,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,0.00,4.00,0.000,-0.2,0.000
윤산흠,한화,69213,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이민재,한화,55710,0.000,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0,0.000,0.000,0,1,2,0.50,0,0.00,3.75,0.000,-0.7,0.000
정우주,한화,55743,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
조동욱,한화,54768,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
한승혁,한화,61666,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
