선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
주효상,KIA,66354,0.333,8,17,15,1,5,2,0,0,7,1,0,0,2,0,0,4,0,0.467,0.412,0.879,1,0.667,0.000,2,3,3,1.00,0,0.50,4.29,0.133,2.7,0.302
김선빈,KIA,78603,0.321,84,308,271,31,87,18,1,3,116,46,2,1,31,0,3,35,9,0.428,0.395,0.823,25,0.352,0.333,22,85,65,1.31,5,0.89,3.93,0.107,43.0,0.285
김도영,KIA,52605,0.309,30,122,110,20,34,9,0,7,64,27,0,2,10,1,0,23,3,0.582,0.361,0.943,10,0.294,1.000,16,22,33,0.67,5,0.43,3.64,0.273,22.0,0.308
최형우,KIA,72443,0.307,133,549,469,74,144,30,1,24,248,86,0,5,67,8,8,98,9,0.529,0.399,0.928,38,0.294,0.600,55,103,129,0.80,9,0.68,3.99,0.222,95.1,0.312
고종욱,KIA,61353,0.296,46,123,115,13,34,2,0,3,45,16,0,3,5,1,0,17,2,0.391,0.317,0.708,7,0.321,0.438,5,35,32,1.09,3,0.29,3.46,0.096,14.9,0.240
박찬호,KIA,64646,0.287,134,595,516,75,148,18,2,5,185,42,8,6,62,0,3,69,7,0.359,0.363,0.722,37,0.294,0.000,25,138,167,0.83,3,0.90,3.86,0.072,75.1,0.253
김호령,KIA,65653,0.283,105,381,332,46,94,26,3,6,144,39,8,1,34,0,6,94,4,0.434,0.359,0.793,26,0.270,0.000,35,55,90,0.61,1,0.36,3.80,0.151,52.5,0.270
윤도현,KIA,52667,0.275,40,160,149,24,41,7,2,6,70,17,2,0,8,0,1,36,1,0.470,0.316,0.786,12,0.296,0.000,15,35,37,0.95,1,0.22,3.63,0.195,21.6,0.260
박정우,KIA,67609,0.274,53,75,62,17,17,2,0,0,19,4,0,0,10,0,3,12,1,0.306,0.400,0.706,2,0.267,0.000,2,17,16,1.06,0,0.83,3.92,0.032,8.9,0.257
나성범,KIA,62947,0.268,82,310,261,30,70,16,0,10,116,36,0,1,42,1,6,79,6,0.444,0.381,0.825,16,0.257,0.400,26,52,61,0.85,4,0.53,4.14,0.176,44.5,0.282
오선우,KIA,69636,0.265,124,474,437,58,116,17,1,18,189,56,0,0,34,2,3,158,11,0.432,0.323,0.755,32,0.239,0.143,36,92,71,1.30,7,0.22,4.07,0.167,56.7,0.253
김석환,KIA,67610,0.265,47,134,117,14,31,1,2,2,42,16,0,1,14,0,2,55,0,0.359,0.351,0.710,7,0.345,0.625,5,22,10,2.20,3,0.25,4.51,0.094,16.3,0.248
정현창,KIA,55926,0.263,16,21,19,4,5,0,0,0,5,0,0,0,2,0,0,5,0,0.263,0.333,0.596,0,0.000,0.250,0,2,7,0.29,0,0.40,3.71,0.000,1.6,0.216
김태군,KIA,78122,0.258,100,274,236,20,61,10,1,5,88,31,8,3,17,1,10,20,9,0.373,0.331,0.704,16,0.278,0.000,16,78,80,0.98,3,0.85,3.50,0.114,29.2,0.242
