선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
이재상,키움,54305,0.500,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,0.000,0.000,0,0,0,-,0,0.00,3.00,0.000,0.4,0.350
송성문,키움,65357,0.315,144,646,574,103,181,37,4,26,304,90,0,3,68,5,1,96,6,0.530,0.387,0.917,53,0.372,0.333,67,139,161,0.86,8,0.71,3.79,0.214,114.9,0.307
이주형,키움,51302,0.313,11,17,16,2,5,0,0,0,5,2,0,0,1,0,0,7,0,0.313,0.353,0.666,1,0.600,0.143,0,2,2,1.00,0,0.14,3.88,0.000,1.8,0.237
이주형,키움,51302,0.313,11,17,16,2,5,0,0,0,5,2,0,0,1,0,0,7,0,0.313,0.353,0.666,1,0.600,0.143,34,131,93,1.41,5,0.32,3.75,0.128,59.6,0.244
이주형,키움,51302,0.313,11,17,16,2,5,0,0,0,5,2,0,0,37,2,28,115,7,0.368,0.337,0.705,28,0.257,0.222,0,2,2,1.00,0,0.14,3.88,0.000,1.8,0.237
이주형,키움,51302,0.313,11,17,16,2,5,0,0,0,5,2,0,0,37,2,28,115,7,0.368,0.337,0.705,28,0.257,0.222,34,131,93,1.41,5,0.32,3.75,0.128,59.6,0.244
최주환,키움,76267,0.275,120,506,459,45,126,31,1,12,195,74,0,6,36,2,5,66,8,0.425,0.330,0.755,33,0.291,0.500,44,112,161,0.70,6,0.55,4.07,0.150,64.2,0.255
김동헌,키움,53344,0.268,49,91,82,8,22,3,0,0,25,8,0,1,7,0,1,23,0,0.305,0.330,0.635,3,0.292,0.600,3,21,17,1.24,0,0.30,4.42,0.037,9.2,0.225
변상권,키움,68305,0.263,12,20,19,2,5,2,0,0,7,4,0,1,0,0,0,2,0,0.368,0.250,0.618,0,0.333,0.167,2,8,5,1.60,0,0.00,3.45,0.105,2.0,0.205
카디네스,키움,54444,0.253,86,361,320,33,81,15,1,7,119,42,0,3,32,2,6,67,7,0.372,0.330,0.702,21,0.284,0.000,23,79,96,0.82,1,0.48,3.37,0.119,39.7,0.242
김병휘,키움,50304,0.250,7,6,4,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0.250,0.500,0.750,0,0.000,0.000,0,0,2,0.00,0,2.00,5.67,0.000,0.9,0.288
주성원,키움,69332,0.250,58,174,156,21,39,6,0,1,48,12,0,1,13,0,4,45,2,0.308,0.322,0.630,10,0.212,0.300,7,36,37,0.97,1,0.29,3.95,0.058,17.0,0.222
임지열,키움,64340,0.244,102,417,369,51,90,14,2,11,141,50,1,3,42,0,2,111,11,0.382,0.322,0.704,19,0.310,0.600,27,89,82,1.09,3,0.38,3.91,0.138,46.0,0.240
김건희,키움,53312,0.242,105,344,322,24,78,20,2,3,111,25,7,2,13,0,0,102,10,0.345,0.270,0.615,19,0.224,0.200,25,91,53,1.72,3,0.13,3.93,0.102,26.3,0.208
스톤,키움,55326,0.241,22,93,87,4,21,0,0,2,27,15,0,1,5,0,0,24,2,0.310,0.280,0.590,6,0.286,1.000,2,19,24,0.79,1,0.21,3.99,0.069,7.6,0.204
이주형,키움,50167,0.240,127,514,446,55,107,22,1,11,164,45,3,0,1,0,0,7,0,0.313,0.353,0.666,1,0.600,0.143,0,2,2,1.00,0,0.14,3.88,0.000,1.8,0.237
이주형,키움,50167,0.240,127,514,446,55,107,22,1,11,164,45,3,0,1,0,0,7,0,0.313,0.353,0.666,1,0.600,0.143,34,131,93,1.41,5,0.32,3.75,0.128,59.6,0.244
