선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
이호연,KT,68504,0.343,32,75,70,8,24,7,0,1,34,8,1,0,3,0,1,14,2,0.486,0.378,0.864,5,0.300,0.389,8,24,8,3.00,0,0.21,3.40,0.143,10.9,0.292
안현민,KT,52001,0.334,112,482,395,72,132,19,4,22,225,80,0,3,75,5,9,72,4,0.570,0.448,1.018,38,0.333,0.000,45,93,101,0.92,7,1.04,4.20,0.235,97.5,0.344
김민혁,KT,64004,0.287,106,417,380,52,109,12,2,0,125,35,4,1,25,1,7,41,12,0.329,0.341,0.670,29,0.262,0.286,14,145,86,1.69,7,0.61,3.63,0.042,41.4,0.236
허경민,KT,79240,0.283,114,481,420,47,119,18,0,4,149,44,3,4,39,1,15,35,14,0.355,0.362,0.717,33,0.290,0.000,22,129,141,0.91,5,1.11,3.88,0.071,54.9,0.252
황재균,KT,76313,0.275,112,424,385,50,106,19,0,7,146,48,1,2,34,1,2,84,2,0.379,0.336,0.715,31,0.403,0.111,26,84,113,0.74,3,0.40,3.91,0.104,50.4,0.246
강백호,KT,68050,0.265,95,369,321,41,85,18,1,15,150,61,0,1,44,3,3,64,9,0.467,0.358,0.825,21,0.300,0.500,34,86,87,0.99,7,0.69,3.91,0.202,51.2,0.278
박민석,KT,69056,0.263,19,21,19,5,5,1,1,0,8,1,0,0,2,0,0,4,0,0.421,0.333,0.754,1,0.000,0.000,2,8,2,4.00,0,0.50,3.67,0.158,2.3,0.255
스티븐슨,KT,55013,0.262,39,168,149,26,39,12,0,3,60,14,1,0,14,0,4,43,2,0.403,0.341,0.744,12,0.258,0.000,15,38,29,1.31,0,0.33,3.93,0.141,20.5,0.254
이정훈,KT,67644,0.258,59,148,132,20,34,4,0,4,50,14,0,0,13,0,3,48,4,0.379,0.338,0.717,6,0.258,0.286,8,28,22,1.27,2,0.27,4.14,0.121,16.1,0.247
오윤석,KT,64504,0.256,77,184,156,30,40,8,1,0,50,19,8,1,12,0,7,41,4,0.321,0.335,0.656,8,0.302,0.300,9,45,31,1.45,0,0.29,4.01,0.064,17.2,0.231
김상수,KT,79402,0.254,113,423,355,42,90,14,0,5,119,47,5,7,52,1,4,57,8,0.335,0.349,0.684,20,0.287,0.250,19,106,109,0.97,6,0.91,4.11,0.082,47.5,0.241
장성우,KT,78548,0.247,129,480,413,44,102,13,0,14,157,58,2,8,55,1,2,96,13,0.380,0.333,0.713,25,0.191,0.250,27,86,137,0.63,8,0.57,4.01,0.133,55.5,0.245
로하스,KT,67025,0.239,95,384,331,48,79,20,0,14,141,43,0,4,48,3,1,71,9,0.426,0.333,0.759,18,0.227,0.167,34,82,103,0.80,11,0.68,4.02,0.187,48.2,0.256
안치영,KT,67006,0.227,47,56,44,9,10,1,0,1,14,6,4,1,4,0,3,13,1,0.318,0.327,0.645,1,0.308,0.000,2,12,10,1.20,1,0.31,3.93,0.091,4.9,0.227
권동진,KT,51003,0.225,123,309,271,34,61,12,3,1,82,25,6,1,30,0,1,91,8,0.303,0.304,0.607,12,0.270,0.500,16,66,54,1.22,1,0.33,4.08,0.077,24.5,0.213
문상철,KT,64007,0.214,79,209,173,22,37,6,1,5,60,20,3,3,25,0,5,44,3,0.347,0.325,0.672,6,0.178,0.250,12,44,51,0.86,1,0.57,3.96,0.133,22.6,0.233
장진혁,KT,66706,0.209,86,157,139,19,29,3,1,4,46,19,4,1,13,0,0,46,1,0.331,0.275,0.606,5,0.184,0.167,8,35,30,1.17,3,0.28,3.97,0.122,14.0,0.207
장준원,KT,64115,0.207,73,154,140,10,29,3,0,1,35,11,5,1,8,0,0,27,5,0.250,0.248,0.498,6,0.182,0.000,4,57,28,2.04,0,0.30,3.62,0.043,7.3,0.174
배정대,KT,64166,0.204,99,276,240,25,49,11,2,2,70,28,7,3,19,0,7,65,4,0.292,0.279,0.571,11,0.281,0.143,15,70,59,1.19,2,0.29,3.95,0.088,21.0,0.199
김병준,KT,52002,0.200,9,5,5,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.000,0.000,0,1,1,1.00,0,0.00,3.40,0.000,0.1,0.140
강현우,KT,50066,0.188,40,78,64,5,12,1,0,1,16,8,3,1,10,0,0,14,1,0.250,0.293,0.543,2,0.235,0.364,2,18,21,0.86,2,0.71,3.71,0.063,5.9,0.194
조대현,KT,68089,0.187,64,90,75,7,14,4,0,0,18,11,6,0,7,0,2,22,0,0.240,0.274,0.514,1,0.348,0.500,4,19,20,0.95,1,0.32,3.88,0.053,5.5,0.183
유준규,KT,51013,0.118,35,41,34,13,4,2,0,0,6,3,0,0,7,0,0,13,0,0.176,0.268,0.444,0,0.111,0.000,2,11,6,1.83,0,0.54,3.83,0.059,2.1,0.165
최성민,KT,51007,0.105,32,21,19,3,2,0,0,0,2,2,1,0,1,0,0,5,0,0.105,0.150,0.255,0,0.500,0.000,0,8,4,2.00,0,0.20,3.90,0.000,0.0,0.094
윤준혁,KT,50092,0.059,28,18,17,4,1,1,0,0,2,0,1,0,0,0,0,5,0,0.118,0.059,0.177,0,0.000,0.000,1,3,8,0.38,0,0.00,3.78,0.059,-0.5,0.056
강민성,KT,69064,0.033,25,36,30,0,1,0,0,0,1,1,0,1,5,0,0,15,1,0.033,0.167,0.200,0,0.000,0.000,0,4,11,0.36,0,0.33,4.75,0.000,-0.5,0.083
김건형,KT,51005,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.000
김민석,KT,54097,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김민수,KT,65048,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박건우,KT,55046,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박경수,KT,73113,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박영현,KT,52060,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
손동현,KT,69041,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
송민섭,KT,64012,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
오서진,KT,55005,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
우규민,KT,73117,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이상동,KT,69054,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이정현,KT,67048,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
주권,KT,65060,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최동환,KT,79140,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
