선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
김태근,삼성,69207,0.333,11,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0.333,0.429,0.762,0,0.000,0.500,0,1,3,0.33,0,0.50,3.86,0.000,1.9,0.276
김성윤,삼성,67449,0.331,127,538,456,92,151,29,9,6,216,61,10,2,65,0,5,54,11,0.474,0.419,0.893,45,0.402,0.400,44,159,94,1.69,4,1.20,3.67,0.143,87.8,0.307
구자욱,삼성,62404,0.319,142,616,529,106,169,43,2,19,273,96,1,8,73,7,5,91,9,0.516,0.402,0.918,46,0.351,0.333,64,147,130,1.13,15,0.80,4.05,0.197,105.7,0.310
디아즈,삼성,54400,0.314,144,628,551,93,173,32,0,50,355,158,0,11,60,10,6,100,15,0.644,0.381,1.025,50,0.352,1.000,82,103,186,0.55,16,0.60,3.82,0.330,126.0,0.332
박승규,삼성,69418,0.287,64,200,174,39,50,5,0,6,73,14,1,0,21,0,4,43,2,0.420,0.377,0.797,12,0.200,0.143,11,38,43,0.88,1,0.49,4.15,0.132,27.7,0.275
김도환,삼성,69442,0.286,6,14,14,3,4,1,0,0,5,1,0,0,0,0,0,4,0,0.357,0.286,0.643,1,1.000,0.000,1,2,4,0.50,0,0.00,3.36,0.071,1.3,0.218
김지찬,삼성,50458,0.281,90,373,317,59,89,9,2,0,102,23,10,3,38,0,5,44,7,0.322,0.364,0.686,24,0.286,0.000,11,105,82,1.28,4,0.86,3.78,0.041,43.2,0.244
류지혁,삼성,62234,0.280,129,464,400,54,112,14,0,1,129,37,14,4,33,0,13,73,11,0.323,0.351,0.674,29,0.247,0.200,15,130,89,1.46,3,0.45,3.82,0.043,47.2,0.239
전병우,삼성,65586,0.273,59,97,77,11,21,2,0,1,26,13,0,0,19,0,1,27,3,0.338,0.423,0.761,2,0.381,0.412,3,10,19,0.53,1,0.70,4.13,0.065,12.5,0.275
강민호,삼성,74540,0.269,127,465,412,37,111,23,1,12,172,71,1,7,38,4,7,69,16,0.417,0.336,0.753,26,0.333,0.300,36,130,109,1.19,6,0.55,3.62,0.148,56.1,0.255
양도근,삼성,54408,0.259,116,198,166,23,43,5,0,0,48,16,11,1,18,0,2,41,3,0.289,0.337,0.626,12,0.220,0.286,5,44,39,1.13,3,0.44,3.74,0.030,18.3,0.224
이재현,삼성,52415,0.254,139,555,457,82,116,29,1,16,195,67,10,8,69,1,11,119,8,0.427,0.360,0.787,29,0.256,0.333,46,88,142,0.62,6,0.58,4.37,0.173,76.6,0.269
김영웅,삼성,52430,0.249,125,499,446,66,111,22,2,22,203,72,0,3,48,3,2,143,6,0.455,0.323,0.778,25,0.268,0.000,46,83,112,0.74,3,0.34,3.97,0.206,66.9,0.259
김태훈,삼성,65040,0.237,51,98,93,4,22,1,0,2,29,8,2,0,3,0,0,24,0,0.312,0.260,0.572,2,0.150,0.240,3,25,22,1.14,1,0.13,3.23,0.075,7.8,0.195
김태훈,삼성,65040,0.237,51,98,93,4,22,1,0,2,29,8,2,0,3,0,0,24,0,0.312,0.260,0.572,2,0.150,0.240,0,0,0,-,0,-,-,-,0.0,0.000
김태훈,삼성,65040,0.237,51,98,93,4,22,1,0,2,29,8,2,0,0,0,0,0,0,-,-,-,0,0.000,0.000,3,25,22,1.14,1,0.13,3.23,0.075,7.8,0.195
김태훈,삼성,65040,0.237,51,98,93,4,22,1,0,2,29,8,2,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
안주형,삼성,66406,0.235,8,18,17,3,4,0,0,1,7,2,0,0,1,0,0,5,1,0.412,0.278,0.690,0,0.000,0.000,1,5,3,1.67,0,0.20,4.11,0.176,1.4,0.228
김헌곤,삼성,61404,0.225,77,191,173,21,39,6,0,2,51,11,2,1,11,0,4,29,4,0.295,0.286,0.581,6,0.114,0.333,8,57,49,1.16,1,0.38,3.79,0.069,14.5,0.202
함수호,삼성,55440,0.214,6,14,14,1,3,0,0,0,3,1,0,0,0,0,0,6,0,0.214,0.214,0.428,1,0.250,0.000,0,4,1,4.00,0,0.00,3.79,0.000,0.5,0.150
이병헌,삼성,69428,0.200,55,59,55,5,11,3,0,1,17,7,0,0,3,0,1,13,1,0.309,0.254,0.563,3,0.273,0.000,4,17,14,1.21,0,0.23,3.88,0.109,4.0,0.192
이창용,삼성,51407,0.200,11,17,15,2,3,1,0,1,7,2,0,0,2,0,0,8,0,0.467,0.294,0.761,0,0.167,0.000,2,4,0,-,0,0.25,4.65,0.267,2.4,0.249
이해승,삼성,69416,0.200,8,5,5,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0.200,0.200,0.400,0,0.500,0.000,0,0,2,0.00,0,0.00,4.80,0.000,0.1,0.140
박병호,삼성,75125,0.199,77,232,196,26,39,5,0,15,89,33,0,2,27,0,7,70,5,0.454,0.315,0.769,9,0.208,0.063,20,36,53,0.68,2,0.39,4.22,0.255,30.5,0.255
이성규,삼성,66409,0.198,68,154,126,17,25,5,1,6,50,21,1,2,15,0,10,52,3,0.397,0.327,0.724,3,0.256,0.154,12,22,29,0.76,2,0.29,4.28,0.198,18.2,0.246
양우현,삼성,69403,0.188,14,16,16,3,3,1,0,0,4,4,0,0,0,0,0,2,0,0.250,0.188,0.438,0,0.286,0.000,1,7,4,1.75,2,0.00,3.63,0.063,0.5,0.147
심재훈,삼성,55438,0.184,31,43,38,8,7,0,0,0,7,2,1,0,4,0,0,13,0,0.184,0.262,0.446,2,0.222,0.000,0,12,6,2.00,0,0.31,3.86,0.000,2.2,0.164
윤정빈,삼성,68463,0.175,25,46,40,3,7,1,0,0,8,3,0,2,4,0,0,18,1,0.200,0.239,0.439,2,0.286,0.167,1,7,10,0.70,0,0.22,3.96,0.025,2.3,0.158
김재성,삼성,65132,0.127,43,73,63,3,8,2,0,0,10,4,1,1,6,0,2,23,0,0.159,0.222,0.381,1,0.133,0.000,2,13,20,0.65,0,0.26,3.88,0.032,2.4,0.140
