선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김한중,두산,55221,0.00,2,0,0,0,0,-,2,1,0,0,0,0,1,0,0.50,0,0,0,0,8,25,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0.75
이교훈,두산,69205,1.17,10,1,0,0,0,1.000,7 2/3,4,0,4,1,7,2,1,1.04,0,0,0,0,29,125,1,0,1,0,0,2,0,0,0,1,3,0,0,3,5,7,0.71
잭로그,두산,55239,2.81,30,10,8,0,1,0.556,176,146,8,39,17,156,66,55,1.05,0,0,17,0,722,2698,25,4,11,2,0,4,0,29,10,0,0,1,0,15,204,149,1.37
박신지,두산,68249,2.85,54,2,4,0,5,0.333,60,55,3,29,5,36,24,19,1.40,0,0,0,1,264,1008,15,3,2,3,6,8,0,0,0,2,7,8,0,4,58,79,0.73
김택연,두산,54263,3.53,64,4,5,24,0,0.444,66 1/3,47,6,31,5,79,31,26,1.18,0,0,0,9,281,1151,6,0,4,1,2,5,0,0,0,4,43,34,3,3,42,73,0.58
박치국,두산,67266,3.75,73,4,4,2,16,0.500,62 1/3,58,4,21,7,57,35,26,1.27,0,0,0,4,271,1045,15,0,5,1,1,0,0,0,0,4,11,23,0,2,66,57,1.16
김정우,두산,68830,3.86,18,0,0,1,1,-,21,26,1,9,3,13,12,9,1.67,0,0,0,0,103,396,4,0,3,2,0,1,0,0,0,0,9,2,0,1,26,23,1.13
이영하,두산,66291,4.05,73,4,4,0,14,0.500,66 2/3,63,4,39,6,72,33,30,1.53,0,0,0,5,299,1136,10,0,5,1,2,7,0,0,0,4,8,23,0,6,66,48,1.38
박정수,두산,65639,4.10,29,1,0,0,3,1.000,26 1/3,31,1,8,4,15,13,12,1.48,0,0,0,0,119,418,3,1,3,2,1,1,0,0,0,1,5,5,0,3,32,26,1.23
곽빈,두산,68220,4.20,19,5,7,0,0,0.417,109 1/3,96,9,41,2,107,55,51,1.25,0,0,7,0,465,1804,23,3,2,6,0,5,0,19,5,0,0,0,0,4,109,108,1.01
양재훈,두산,55215,4.24,19,0,0,1,0,-,23 1/3,19,3,8,0,19,11,11,1.16,0,0,0,0,93,380,4,0,0,1,0,0,0,0,0,0,8,2,0,2,14,33,0.42
최민석,두산,55268,4.40,17,3,3,0,0,0.500,77 2/3,72,7,34,5,53,41,38,1.36,0,0,4,0,333,1342,15,1,3,1,1,5,1,15,3,0,0,0,0,9,90,76,1.18
최승용,두산,51264,4.41,23,5,7,0,0,0.417,116 1/3,121,8,36,6,71,60,57,1.35,0,0,9,0,507,1958,20,4,5,3,0,4,0,23,5,0,0,0,0,10,120,148,0.81
콜어빈,두산,55257,4.48,28,8,12,0,0,0.400,144 2/3,142,9,79,18,128,80,72,1.53,0,0,10,0,649,2593,26,3,14,8,1,6,0,28,8,0,0,0,0,16,147,121,1.21
홍민규,두산,55267,4.59,20,2,1,1,0,0.667,33 1/3,37,4,15,1,17,19,17,1.56,0,0,0,0,151,571,6,0,0,3,0,4,0,2,0,2,11,1,0,2,30,51,0.59
김민규,두산,68200,4.66,7,1,1,0,0,0.500,9 2/3,9,1,6,4,6,5,5,1.55,0,0,0,0,47,199,3,0,0,4,0,0,0,1,0,1,5,0,0,0,6,16,0.38
최원준,두산,67263,4.71,47,4,7,0,9,0.364,107,105,18,38,4,62,59,56,1.34,0,0,5,2,456,1852,17,2,4,3,2,4,0,16,1,3,1,9,0,6,96,147,0.65
제환유,두산,50211,4.96,6,0,1,0,0,0.000,16 1/3,17,2,12,1,8,10,9,1.78,0,0,0,0,78,304,1,0,1,1,1,0,0,3,0,0,0,0,0,1,19,20,0.95
김명신,두산,67246,5.40,8,0,0,0,0,-,8 1/3,13,0,3,1,6,8,5,1.92,0,0,0,0,43,202,3,1,0,1,0,1,0,0,0,0,1,0,0,0,10,10,1.00
최종인,두산,50206,5.40,3,0,0,0,0,-,1 2/3,1,0,3,0,5,1,1,2.40,0,0,0,0,9,46,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,-
홍건희,두산,61643,6.19,20,2,1,0,0,0.667,16,18,2,15,0,15,13,11,2.06,0,0,0,0,83,341,1,0,2,0,1,0,0,0,0,2,7,0,0,0,22,11,2.00
이병헌,두산,52204,6.23,22,0,0,0,4,-,13,11,1,10,0,9,9,9,1.62,0,0,0,0,56,216,1,0,0,1,2,0,0,0,0,0,2,6,0,1,8,18,0.44
최지강,두산,52206,6.34,39,2,5,0,5,0.286,32 2/3,41,3,13,2,38,25,23,1.65,0,0,0,4,149,582,5,0,3,0,1,3,0,0,0,2,9,13,0,3,39,13,3.00
김호준,두산,68269,6.75,19,0,1,0,1,0.000,10 2/3,14,2,7,0,7,11,8,1.97,0,0,0,1,54,218,3,0,0,0,1,1,0,0,0,0,3,2,0,2,22,4,5.50
윤태호,두산,52202,6.75,10,0,1,0,1,0.000,17 1/3,16,2,5,0,16,14,13,1.21,0,0,0,0,73,287,6,0,2,1,0,2,0,1,0,0,2,0,0,1,14,20,0.70
고효준,두산,72523,6.86,45,2,1,0,9,0.667,21,29,4,14,1,19,16,16,2.05,0,0,0,3,104,441,2,1,2,1,1,4,0,0,0,2,2,15,0,3,23,16,1.44
최준호,두산,53259,8.44,9,1,2,0,0,0.333,16,18,4,9,2,11,15,15,1.69,0,0,0,0,74,305,5,0,0,1,0,2,0,3,0,1,2,0,0,1,14,20,0.70
김유성,두산,53262,8.83,7,0,2,0,0,0.000,17 1/3,17,3,14,4,22,17,17,1.79,0,0,0,0,85,385,2,0,0,0,0,1,0,4,0,0,1,0,0,0,11,17,0.65
