선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
주승우,키움,52330,2.45,42,2,2,16,5,0.500,44,35,7,17,2,35,13,12,1.18,0,0,0,4,179,713,1,0,2,0,0,1,0,0,0,2,25,25,1,6,37,51,0.73
웰스,키움,55348,3.15,4,1,1,0,0,0.500,20,18,0,6,1,16,8,7,1.20,0,0,2,0,85,329,3,0,0,1,0,0,0,4,1,0,0,0,0,1,18,26,0.69
로젠버그,키움,55322,3.23,13,4,4,0,0,0.500,75 1/3,63,5,25,4,80,33,27,1.17,0,0,6,0,320,1265,13,2,3,1,0,2,0,13,4,0,0,0,0,2,69,76,0.91
알칸타라,키움,69045,3.27,19,8,4,0,0,0.667,121,125,11,10,4,92,50,44,1.12,0,0,14,0,492,1796,20,3,6,3,0,3,0,19,8,0,0,0,0,7,125,130,0.96
오석주,키움,67116,3.70,53,2,1,0,7,0.667,58 1/3,52,4,29,7,44,24,24,1.39,0,0,0,1,252,1032,6,1,3,4,0,3,0,0,0,2,15,7,0,7,61,56,1.09
메르세데스,키움,55342,4.47,8,3,3,0,0,0.500,46 1/3,54,5,9,0,41,24,23,1.36,0,0,2,0,197,764,12,0,2,1,0,2,1,8,3,0,0,0,0,4,52,39,1.33
박윤성,키움,53301,4.53,54,0,5,1,6,0.000,51 2/3,55,9,19,1,40,31,26,1.43,0,0,0,3,226,905,12,0,3,0,0,4,1,0,0,0,11,6,0,4,43,65,0.66
김성민,키움,67828,4.68,29,0,3,0,1,0.000,25,25,1,13,5,18,15,13,1.52,0,0,0,1,113,397,3,3,2,1,1,0,0,0,0,0,5,2,0,4,28,22,1.27
하영민,키움,64350,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37,0,0,14,0,669,2506,29,3,8,2,1,7,0,28,7,0,0,0,0,8,144,164,0.88
윤석원,키움,52395,5.54,37,1,1,0,8,0.500,37 1/3,41,3,12,2,27,23,23,1.42,0,0,0,1,160,623,9,3,1,1,2,0,0,0,0,1,10,9,0,3,31,46,0.67
김선기,키움,66018,5.65,44,1,7,0,2,0.125,78,96,6,47,11,43,55,49,1.83,0,0,0,0,381,1391,17,0,3,5,1,2,0,8,0,1,7,0,0,5,76,105,0.72
조영건,키움,69360,5.68,51,5,5,8,7,0.500,77 2/3,84,12,38,4,47,51,49,1.57,0,0,0,2,353,1330,18,1,2,4,0,5,0,6,0,5,16,17,1,7,58,120,0.48
정현우,키움,55313,5.86,18,3,7,0,0,0.300,81 1/3,92,8,48,6,55,63,53,1.72,0,0,3,0,384,1496,20,0,3,6,0,4,2,18,3,0,0,0,0,6,81,99,0.82
원종현,키움,76118,6.13,61,2,4,5,11,0.333,54 1/3,68,5,18,3,40,42,37,1.58,0,0,0,6,248,931,8,2,7,3,2,6,0,0,0,2,13,22,1,3,63,49,1.29
김윤하,키움,54319,6.14,19,0,12,0,0,0.000,88,113,16,44,3,52,76,60,1.78,0,0,4,1,422,1645,18,2,5,4,1,2,0,18,0,0,0,1,0,3,68,137,0.50
이강준,키움,50036,6.57,29,0,3,0,2,0.000,24 2/3,29,3,17,2,26,22,18,1.86,0,0,0,0,119,492,5,0,2,0,0,2,0,0,0,0,3,2,0,2,28,15,1.87
