선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
최용준,KT,50650,2.00,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67,0,0,0,0,39,128,1,0,0,0,1,0,0,0,0,1,1,0,0,2,5,14,0.36
우규민,KT,73117,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08,0,0,0,1,185,665,6,0,4,0,1,0,0,0,0,1,10,14,0,2,52,53,0.98
이상동,KT,69054,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92,0,0,0,1,168,656,6,0,2,2,1,1,0,0,0,3,5,10,0,2,32,58,0.55
박건우,KT,55046,2.70,6,0,0,0,0,-,6 2/3,4,1,4,0,9,2,2,1.20,0,0,0,0,28,117,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,8,0.38
패트릭,KT,55032,3.12,15,3,3,0,2,0.500,60 2/3,63,2,21,2,45,26,21,1.38,0,0,2,0,267,992,10,2,1,0,0,5,0,9,3,0,0,4,0,4,75,60,1.25
문용익,KT,67419,3.14,20,1,0,0,0,1.000,28 2/3,21,3,19,0,31,11,10,1.40,0,0,0,0,121,528,7,0,2,1,1,0,0,2,1,0,5,0,0,2,27,21,1.29
고영표,KT,64001,3.30,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24,1,1,20,0,685,2525,31,2,7,7,2,4,1,26,11,0,2,0,0,14,190,119,1.60
소형준,KT,50030,3.30,26,10,7,1,0,0.588,147 1/3,155,6,29,3,123,60,54,1.25,0,0,18,0,617,2209,24,3,6,1,1,4,0,24,10,0,1,1,0,13,189,112,1.69
박영현,KT,52060,3.39,67,5,6,35,1,0.455,69,68,9,34,2,77,31,26,1.48,0,0,0,7,305,1228,10,1,4,1,4,6,1,0,0,5,53,43,3,3,37,83,0.45
오원석,KT,50859,3.67,25,11,8,0,0,0.579,132 1/3,130,10,52,4,113,60,54,1.38,0,0,12,0,565,2187,25,1,7,4,1,5,0,25,11,0,0,0,0,10,132,127,1.04
손동현,KT,69041,3.84,58,5,0,1,13,1.000,58 2/3,66,6,12,3,55,30,25,1.33,0,0,0,2,257,938,16,1,4,1,3,4,0,0,0,5,7,17,0,0,43,74,0.58
전용주,KT,69047,3.95,21,0,1,0,4,0.000,13 2/3,18,0,7,0,11,8,6,1.83,0,0,0,0,66,257,4,0,0,1,1,3,0,0,0,0,0,7,0,1,20,10,2.00
헤이수스,KT,54354,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33,0,0,15,0,712,2716,22,2,8,3,0,7,2,30,9,0,0,0,0,7,171,143,1.20
주권,KT,65060,4.43,34,0,1,0,0,0.000,40 2/3,48,3,13,0,19,23,20,1.50,0,0,0,1,176,634,2,0,3,1,1,0,1,0,0,0,14,1,0,10,56,37,1.51
김민수,KT,65048,4.96,58,4,3,0,11,0.571,52 2/3,63,5,15,1,36,31,29,1.48,0,0,0,1,230,817,11,2,2,4,1,5,0,0,0,4,12,21,0,3,56,57,0.98
임준형,KT,69113,5.19,10,0,0,0,0,-,8 2/3,11,0,7,1,6,7,5,2.08,0,0,0,0,42,179,1,0,1,0,0,1,0,0,0,0,3,0,0,3,10,6,1.67
원상현,KT,54063,5.21,52,0,3,0,14,0.000,57,56,8,35,1,45,35,33,1.60,0,0,0,0,259,1009,10,0,2,3,3,4,0,0,0,0,5,17,0,2,62,58,1.07
조이현,KT,64768,5.40,3,1,2,0,0,0.333,11 2/3,17,2,0,1,3,7,7,1.46,0,0,0,0,50,173,2,1,0,0,0,0,0,3,1,0,0,0,0,2,9,20,0.45
쿠에바스,KT,69032,5.40,18,3,10,0,0,0.231,98 1/3,104,13,46,5,60,69,59,1.53,0,0,7,0,445,1663,14,2,4,2,0,4,1,18,3,0,0,0,0,8,108,118,0.92
배제성,KT,65516,5.67,8,2,3,0,0,0.400,27,38,2,11,0,23,17,17,1.81,0,0,0,0,127,514,5,1,1,0,1,1,0,5,1,1,0,1,0,1,26,28,0.93
