선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
데이비슨,NC,54944,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00
구창모,NC,65933,2.51,4,1,0,0,0,1.000,14 1/3,14,1,3,0,18,4,4,1.19,0,0,0,0,59,250,3,0,0,0,0,1,0,3,0,1,0,0,0,1,11,13,0.85
김영규,NC,68900,2.86,45,4,3,0,21,0.571,44,40,3,18,3,35,17,14,1.32,0,0,0,1,189,762,4,0,5,5,4,6,0,0,0,4,1,21,0,6,48,40,1.20
류진욱,NC,65949,3.27,62,4,3,29,0,0.571,66,50,6,28,6,57,27,24,1.18,0,0,0,1,275,1061,7,1,2,1,3,5,0,0,0,4,51,31,5,8,79,53,1.49
김진호,NC,67954,3.36,76,4,3,6,20,0.571,72 1/3,53,5,45,9,70,30,27,1.35,0,0,0,5,316,1303,12,1,2,1,1,9,1,0,0,4,11,30,0,5,62,75,0.83
라일리,NC,55903,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12,0,0,16,0,709,2916,25,2,4,4,0,5,0,30,17,0,0,0,0,5,134,160,0.84
임지민,NC,52902,3.86,7,0,1,0,1,0.000,4 2/3,1,0,5,0,7,2,2,1.29,0,0,0,1,20,84,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,5,0.40
전사민,NC,69969,4.26,74,7,7,2,13,0.500,82 1/3,86,3,33,11,62,45,39,1.45,0,0,0,4,370,1341,12,2,8,3,4,7,0,0,0,7,6,17,1,9,108,62,1.74
손주환,NC,54904,4.35,52,6,1,0,7,0.857,51 2/3,53,5,19,1,37,29,25,1.39,0,0,0,0,224,807,5,0,1,2,0,0,0,0,0,6,7,5,0,5,61,52,1.17
배재환,NC,64995,4.48,70,2,4,2,24,0.333,60 1/3,48,3,37,11,51,36,30,1.41,0,0,0,3,271,1117,6,1,6,0,4,6,0,0,0,2,6,32,0,5,42,76,0.55
로건,NC,55912,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43,0,0,16,0,770,3037,30,2,3,5,3,6,0,31,7,0,0,0,0,13,188,173,1.09
