선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김성민,SSG,50848,0.00,2,1,0,0,0,1.000,2/3,0,0,2,0,0,0,0,3.00,0,0,0,0,4,22,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1.00
신지환,SSG,55860,0.00,1,0,0,0,0,-,1,0,0,0,1,1,0,0,0.00,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.00
조병현,SSG,51897,1.60,69,5,4,30,0,0.556,67 1/3,42,5,18,0,79,13,12,0.89,0,0,0,2,255,1088,7,0,1,1,2,1,0,0,0,5,55,32,2,3,41,74,0.55
이로운,SSG,53892,1.99,75,6,5,1,33,0.545,77,56,7,26,0,66,19,17,1.06,0,0,0,1,305,1261,4,1,4,3,5,2,0,0,0,6,5,31,0,5,65,88,0.74
노경은,SSG,73211,2.14,77,3,6,3,35,0.333,80,60,2,25,3,68,22,19,1.06,0,0,0,6,320,1177,10,0,9,4,5,3,0,0,0,3,6,36,0,2,76,79,0.96
앤더슨,SSG,54833,2.25,30,12,7,0,0,0.632,171 2/3,121,13,51,9,245,53,43,1.00,0,0,17,0,694,2792,17,1,3,3,1,10,0,30,12,0,0,0,0,7,130,134,0.97
김택형,SSG,65343,2.78,25,0,0,0,1,-,22 2/3,19,0,10,3,14,7,7,1.28,0,0,0,0,95,371,6,0,1,0,0,2,0,0,0,0,13,0,0,4,27,21,1.29
화이트,SSG,55855,2.87,24,11,4,0,0,0.733,134 2/3,111,9,44,8,137,51,43,1.15,1,0,12,0,562,2165,17,2,4,3,1,6,0,24,11,0,0,0,0,8,162,96,1.69
김민,SSG,68043,2.97,70,5,2,1,22,0.714,63 2/3,60,7,17,6,65,23,21,1.21,0,0,0,4,266,944,7,0,4,0,2,4,0,0,0,5,6,22,1,11,77,37,2.08
박기호,SSG,54802,3.00,18,0,0,0,2,-,24,23,3,12,8,13,10,8,1.46,0,0,0,0,110,451,2,0,3,1,1,2,0,1,0,0,6,0,0,5,33,18,1.83
박시후,SSG,50812,3.27,52,6,2,0,3,0.750,52 1/3,45,5,29,5,34,24,19,1.41,0,0,0,0,231,930,3,0,3,1,1,0,1,1,0,6,6,1,0,6,65,50,1.30
김건우,SSG,51867,3.82,35,5,4,0,2,0.556,66,53,2,49,7,68,31,28,1.55,0,0,0,0,301,1241,14,0,2,2,1,4,0,13,4,1,5,3,0,5,51,71,0.72
최민준,SSG,68856,3.97,40,2,2,0,1,0.500,65 2/3,72,6,24,3,44,34,29,1.46,0,0,0,0,287,1172,7,0,7,4,0,3,0,8,0,2,10,2,0,9,67,70,0.96
전영준,SSG,52809,4.61,34,1,5,0,0,0.167,52 2/3,48,5,26,5,55,28,27,1.41,0,0,0,0,228,993,9,0,3,1,1,3,0,5,0,1,6,1,0,4,35,56,0.63
한두솔,SSG,68092,4.95,44,2,0,1,3,1.000,36 1/3,46,1,19,1,27,22,20,1.79,0,0,0,1,169,649,5,0,2,2,1,1,0,0,0,2,7,4,1,5,38,36,1.06
김광현,SSG,77829,5.00,28,10,10,0,0,0.500,144,164,13,50,4,138,86,80,1.49,0,0,9,0,636,2453,28,1,5,3,1,6,0,28,10,0,0,0,0,15,149,126,1.18
문승원,SSG,62869,5.13,23,4,7,0,0,0.364,105 1/3,109,16,38,5,61,61,60,1.40,0,0,5,0,452,1783,23,3,6,4,0,4,0,21,4,0,0,0,0,13,105,128,0.82
송영진,SSG,53898,5.83,21,2,5,0,0,0.286,63 1/3,77,10,31,3,40,45,41,1.71,0,0,1,0,288,1070,5,1,3,4,1,2,0,8,2,0,2,0,0,12,72,62,1.16
최현석,SSG,54803,6.23,13,0,0,0,0,-,17 1/3,21,5,6,2,11,13,12,1.56,0,0,0,0,77,290,2,0,0,0,0,1,0,0,0,0,8,0,0,2,25,12,2.08
서진용,SSG,61895,6.75,2,0,0,0,0,-,1 1/3,1,0,3,0,0,1,1,3.00,0,0,0,0,7,27,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0.50
박종훈,SSG,60841,7.11,5,0,2,0,0,0.000,19,15,4,18,5,10,17,15,1.74,0,0,1,0,90,370,1,0,1,1,0,0,0,5,0,0,0,0,0,4,24,17,1.41
정동윤,SSG,66858,8.31,12,0,0,0,0,-,17 1/3,21,2,12,0,17,16,16,1.90,0,0,0,0,82,317,6,0,1,1,0,1,0,0,0,0,7,0,0,2,17,14,1.21
