playerId,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
65357,1,송성문,키움,144,27,25,2,92.6,6,2
50167,2,이주형,키움,127,16,15,1,93.8,2,2
64340,3,임지열,키움,102,19,13,6,68.4,3,0
50357,4,박주홍,키움,102,12,11,1,91.7,2,1
55397,5,전태현,키움,77,4,4,0,100,1,0
69332,5,주성원,키움,58,4,4,0,100,3,0
53312,7,김건희,키움,105,3,2,1,66.7,1,0
62332,8,김재현,키움,62,1,1,0,100,0,0
64984,8,김태진,키움,94,2,1,1,50.0,2,0
52305,8,박수종,키움,38,1,1,0,100,0,0
55392,8,어준서,키움,116,1,1,0,100,2,0
74163,8,이용규,키움,14,1,1,0,100,0,0
78135,8,이형종,키움,33,1,1,0,100,0,0
64346,8,임병욱,키움,52,1,1,0,100,1,0
51359,8,장재영,키움,10,1,1,0,100,0,0
54444,8,카디네스,키움,86,3,1,2,33.3,4,0
62925,17,강진성,키움,6,0,0,0,-,0,0
54344,17,고영우,키움,14,0,0,0,-,0,0
55371,17,권혁빈,키움,22,0,0,0,-,0,0
66838,17,김동엽,키움,9,0,0,0,-,0,0
53344,17,김동헌,키움,49,0,0,0,-,0,0
50304,17,김병휘,키움,7,0,0,0,-,1,0
65898,17,김웅빈,키움,10,0,0,0,-,1,0
53301,17,박윤성,키움,3,0,0,0,-,0,0
55394,17,박정훈,키움,1,0,0,0,-,0,0
69328,17,박주성,키움,2,0,0,0,-,0,0
68305,17,변상권,키움,12,0,0,0,-,0,0
53309,17,서유신,키움,6,0,0,0,-,0,0
54394,17,송지후,키움,33,1,0,1,0.0,1,0
55326,17,스톤,키움,22,0,0,0,-,0,0
69045,17,알칸타라,키움,1,0,0,0,-,0,0
55370,17,양현종,키움,12,0,0,0,-,0,0
55393,17,여동욱,키움,28,0,0,0,-,1,0
55339,17,염승원,키움,11,0,0,0,-,0,0
78756,17,오선진,키움,99,0,0,0,-,1,0
54307,17,원성준,키움,24,0,0,0,-,0,0
53302,17,이승원,키움,1,0,0,0,-,0,0
75566,17,이원석,키움,5,0,0,0,-,0,0
54305,17,이재상,키움,2,0,0,0,-,0,0
51302,17,이주형,키움,11,0,0,0,-,0,0
55301,17,이준우,키움,1,0,0,0,-,0,0
52330,17,주승우,키움,2,0,0,0,-,0,0
76267,17,최주환,키움,120,0,0,0,-,6,0
52366,17,푸이그,키움,40,0,0,0,-,0,0
