playerId,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
64004,1,김민혁,KT,106,14,11,3,78.6,2,0
52001,2,안현민,KT,112,8,7,1,87.5,3,2
64166,3,배정대,KT,99,9,6,3,66.7,2,0
79240,4,허경민,KT,114,5,4,1,80.0,4,0
51003,5,권동진,KT,123,4,3,1,75.0,1,1
79402,5,김상수,KT,113,4,3,1,75.0,1,0
76313,5,황재균,KT,112,4,3,1,75.0,6,0
68050,8,강백호,KT,95,6,2,4,33.3,1,2
55013,8,스티븐슨,KT,39,2,2,0,100,5,1
51013,8,유준규,KT,35,3,2,1,66.7,1,0
67025,11,로하스,KT,95,2,1,1,50.0,2,0
64007,11,문상철,KT,79,2,1,1,50.0,1,0
50092,11,윤준혁,KT,28,1,1,0,100,0,0
66706,11,장진혁,KT,86,1,1,0,100,0,1
51007,11,최성민,KT,32,1,1,0,100,0,0
69064,16,강민성,KT,25,0,0,0,-,0,0
50066,16,강현우,KT,40,0,0,0,-,0,0
51005,16,김건형,KT,2,0,0,0,-,0,0
54097,16,김민석,KT,2,0,0,0,-,0,0
65048,16,김민수,KT,1,0,0,0,-,0,0
52002,16,김병준,KT,9,0,0,0,-,0,0
55046,16,박건우,KT,2,0,0,0,-,0,0
73113,16,박경수,KT,1,0,0,0,-,0,0
69056,16,박민석,KT,19,1,0,1,0.0,1,0
52060,16,박영현,KT,5,0,0,0,-,0,0
69041,16,손동현,KT,1,0,0,0,-,0,0
64012,16,송민섭,KT,3,0,0,0,-,1,0
67006,16,안치영,KT,47,2,0,2,0.0,0,0
55005,16,오서진,KT,3,0,0,0,-,0,0
64504,16,오윤석,KT,77,0,0,0,-,3,0
73117,16,우규민,KT,2,0,0,0,-,0,0
69054,16,이상동,KT,2,0,0,0,-,0,0
67048,16,이정현,KT,2,0,0,0,-,0,0
67644,16,이정훈,KT,59,1,0,1,0.0,0,0
68504,16,이호연,KT,32,0,0,0,-,2,0
78548,16,장성우,KT,129,1,0,1,0.0,4,0
64115,16,장준원,KT,73,0,0,0,-,0,1
68089,16,조대현,KT,64,0,0,0,-,0,0
65060,16,주권,KT,2,0,0,0,-,0,0
79140,16,최동환,KT,1,0,0,0,-,0,0
