playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
64646,1,박찬호,두산,유격수,94,91,790 2/3,12,0,129,212,48,0.966,0,0,0,-
79231,2,정수빈,두산,중견수,93,87,758 2/3,2,0,199,2,0,0.990,0,0,0,-
53554,3,김민석,두산,좌익수,80,72,573,2,0,116,3,1,0.983,0,0,0,-
53296,4,윤준호,두산,포수,69,33,347,1,0,331,17,3,0.997,5,19,3,13.6
56251,5,카메론,두산,우익수,65,64,543 2/3,5,0,98,0,0,0.951,0,0,0,-
51203,6,안재석,두산,3루수,63,63,530 2/3,9,0,61,90,9,0.944,0,0,0,-
55252,7,박준순,두산,2루수,58,57,466 2/3,7,0,113,134,22,0.972,0,0,0,-
76232,8,양의지,두산,포수,55,53,408 1/3,1,0,386,27,3,0.998,4,42,6,12.5
63123,9,강승호,두산,1루수,52,33,324,2,0,259,28,24,0.993,0,0,0,-
67207,10,이유찬,두산,2루수,50,16,195,3,0,51,51,10,0.971,0,0,0,-
66209,11,조수행,두산,좌익수,46,1,101,0,0,28,1,0,1.000,0,0,0,-
52204,12,이병헌,두산,투수,43,0,32 1/3,2,0,2,5,1,0.778,0,0,0,-
68830,13,김정우,두산,투수,41,0,41 2/3,0,0,2,5,1,1.000,0,0,0,-
50204,13,박지훈,두산,3루수,41,28,269,4,0,20,41,2,0.938,0,0,0,-
66291,15,이영하,두산,투수,36,1,44,0,0,2,8,0,1.000,0,0,0,-
67266,16,박치국,두산,투수,34,0,28 1/3,0,0,1,6,1,1.000,0,0,0,-
77211,17,이용찬,두산,투수,29,0,27 2/3,0,1,1,6,1,1.000,0,0,0,-
54263,18,김택연,두산,투수,27,0,29 1/3,0,0,1,4,0,1.000,0,0,0,-
64153,19,양석환,두산,1루수,26,26,203,2,0,175,15,15,0.990,0,0,0,-
55215,19,양재훈,두산,투수,26,0,24 1/3,0,0,4,1,0,1.000,0,0,0,-
50208,22,오명진,두산,1루수,22,17,126 2/3,2,0,102,10,9,0.982,0,0,0,-
66112,23,김기연,두산,포수,21,10,98 1/3,1,0,104,8,2,0.991,1,8,2,20.0
68220,25,곽빈,두산,투수,19,19,109,0,0,5,6,0,1.000,0,0,0,-
