선수명,팀명,playerId,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
전다민,두산,54214,1.000,6,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,0,1.000,0.000,0,0,0,-,0,-,4.00,0.000,0.7,0.700
류현준,두산,54219,0.500,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,1.000,0,0.000,0.000,0,0,1,0.00,0,-,1.50,0.000,0.4,0.350
박준순,두산,55252,0.340,63,274,253,38,86,11,5,14,149,45,0,1,15,0,5,54,10,0.589,0.387,0.976,30,0.359,0.000,30,55,59,0.93,8,0.28,3.49,0.249,48.8,0.321
김민석,두산,53554,0.308,88,328,286,38,88,15,2,4,119,34,2,1,37,0,2,58,1,0.416,0.390,0.806,22,0.370,0.375,21,77,64,1.20,7,0.64,4.09,0.108,47.6,0.280
박찬호,두산,64646,0.288,95,405,354,60,102,19,2,5,140,36,7,3,39,1,2,57,8,0.395,0.359,0.754,28,0.265,0.500,26,95,103,0.92,4,0.68,3.95,0.107,51.8,0.260
카메론,두산,56251,0.287,75,314,279,39,80,19,3,9,132,43,0,2,30,0,3,53,9,0.473,0.360,0.833,23,0.244,0.500,31,50,98,0.51,1,0.57,3.54,0.186,46.2,0.280
조수행,두산,66209,0.280,75,100,82,15,23,2,1,0,27,11,7,0,11,0,0,12,1,0.329,0.366,0.695,4,0.280,0.000,3,33,14,2.36,1,0.92,3.88,0.049,11.9,0.247
김대한,두산,69238,0.278,8,22,18,2,5,0,0,0,5,1,1,0,3,0,0,3,1,0.278,0.381,0.659,0,0.250,0.000,0,6,4,1.50,0,1.00,3.32,0.000,2.0,0.241
윤준호,두산,53296,0.265,70,138,117,16,31,5,0,3,45,12,6,3,10,0,2,33,5,0.385,0.326,0.711,8,0.304,1.000,8,28,28,1.00,2,0.30,4.21,0.120,15.0,0.243
세베리노,두산,56236,0.265,9,38,34,3,9,3,0,0,12,3,0,0,4,0,0,12,1,0.353,0.342,0.695,4,0.333,0.000,3,6,7,0.86,0,0.33,3.76,0.088,3.8,0.242
오명진,두산,50208,0.264,49,123,106,12,28,6,2,2,44,12,1,2,14,1,0,22,3,0.415,0.344,0.759,9,0.182,0.286,10,28,30,0.93,2,0.64,4.07,0.151,14.5,0.259
정수빈,두산,79231,0.263,94,372,319,48,84,9,4,6,119,32,8,1,40,1,4,55,4,0.373,0.352,0.725,22,0.282,0.500,19,108,73,1.48,3,0.73,4.12,0.110,45.4,0.252
양의지,두산,76232,0.262,93,369,309,30,81,14,0,12,131,50,0,9,35,1,16,40,10,0.424,0.358,0.782,19,0.213,0.333,26,71,126,0.56,3,0.88,3.74,0.162,51.1,0.267
안재석,두산,51203,0.259,64,253,228,27,59,14,2,6,95,37,1,2,19,1,3,43,3,0.417,0.321,0.738,18,0.265,0.000,22,54,74,0.73,5,0.44,3.78,0.158,31.5,0.249
강승호,두산,63123,0.259,67,198,174,29,45,8,0,7,74,30,1,5,10,0,8,48,6,0.425,0.320,0.745,13,0.212,0.400,15,45,41,1.10,6,0.21,3.81,0.167,25.5,0.250
류승민,두산,53404,0.254,24,83,71,8,18,2,1,0,22,3,2,0,9,0,1,17,0,0.310,0.346,0.656,5,0.176,0.000,3,14,22,0.64,0,0.53,3.90,0.056,9.1,0.233
박지훈,두산,50204,0.253,83,224,190,29,48,4,2,0,56,18,10,0,20,0,4,34,3,0.295,0.336,0.631,10,0.250,0.250,6,60,48,1.25,1,0.59,4.18,0.042,20.9,0.225
손아섭,두산,77532,0.245,44,159,143,15,35,4,0,1,42,14,0,3,13,0,0,29,2,0.294,0.302,0.596,8,0.250,0.111,5,52,30,1.73,1,0.45,4.06,0.049,14.2,0.209
김인태,두산,63257,0.227,41,51,44,4,10,3,0,1,16,4,0,0,4,0,3,17,1,0.364,0.333,0.697,0,0.133,0.241,4,9,8,1.13,0,0.24,4.20,0.136,5.4,0.241
김기연,두산,66112,0.220,26,45,41,6,9,1,0,0,10,7,1,1,1,0,1,6,2,0.244,0.250,0.494,2,0.357,0.000,1,14,13,1.08,1,0.17,3.36,0.024,2.1,0.174
이유찬,두산,67207,0.206,70,116,102,15,21,2,1,1,28,15,1,3,7,0,3,33,0,0.275,0.270,0.545,3,0.139,0.000,4,20,31,0.65,1,0.21,4.03,0.069,9.5,0.190
양석환,두산,64153,0.200,31,113,100,6,20,4,0,1,27,7,0,5,8,1,0,33,2,0.270,0.248,0.518,5,0.000,0.000,5,14,38,0.37,0,0.24,3.87,0.070,8.1,0.179
임종성,두산,54236,0.167,12,18,18,2,3,0,0,1,6,3,0,0,0,0,0,6,0,0.333,0.167,0.500,0,0.333,0.500,1,5,4,1.25,0,0.00,4.17,0.167,1.0,0.158
홍성호,두산,66233,0.133,6,15,15,1,2,0,0,0,2,0,0,0,0,0,0,7,1,0.133,0.133,0.266,0,0.000,0.000,0,2,4,0.50,0,0.00,4.33,0.000,-0.6,0.093
김동주,두산,51230,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
김정우,두산,68830,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박성재,두산,51298,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,2,1,2.00,0,0.00,4.00,0.000,-0.5,0.000
박신지,두산,68249,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
박정수,두산,65639,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
양재훈,두산,55215,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
윤태호,두산,52202,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이병헌,두산,52204,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
이영하,두산,66291,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최주형,두산,56215,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
최지강,두산,52206,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000
