선수명,팀명,playerId,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
최원준,두산,67263,0.00,2,0,0,0,0,-,2,1,0,1,0,1,0,0,1.00,0,0,0,0,7,30,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1.00
최주형,두산,56215,0.00,8,0,0,0,0,-,7,4,0,7,0,8,0,0,1.57,0,0,0,0,31,145,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,1.00
김정우,두산,68830,1.73,41,1,2,2,7,0.333,41 2/3,23,0,15,7,34,8,8,0.91,0,0,0,1,166,644,4,0,3,2,1,2,0,0,0,1,6,12,0,3,37,47,0.79
윤태호,두산,52202,1.74,12,1,0,1,1,1.000,10 1/3,8,0,6,0,9,2,2,1.35,0,0,0,1,44,187,0,0,1,1,0,1,0,0,0,1,7,3,1,2,8,12,0.67
벤자민,두산,52043,2.48,16,4,7,0,0,0.364,90 2/3,89,3,23,1,88,31,25,1.24,0,0,9,0,379,1427,18,2,7,1,0,4,0,16,4,0,0,0,0,7,95,76,1.25
최민석,두산,55268,2.49,18,9,3,0,0,0.750,101 1/3,84,3,42,4,93,40,28,1.24,0,0,12,0,430,1644,19,0,3,2,0,3,1,18,9,0,0,0,0,7,97,107,0.91
곽빈,두산,68220,2.64,19,9,4,0,0,0.692,109,96,8,30,5,128,36,32,1.16,0,0,12,0,453,1883,12,1,0,6,0,3,0,19,9,0,0,0,0,8,80,114,0.70
김택연,두산,54263,2.76,27,0,2,3,6,0.000,29 1/3,20,4,17,0,34,9,9,1.26,0,0,0,3,126,510,3,0,3,0,2,1,0,0,0,0,8,11,1,1,21,31,0.68
김한중,두산,55221,3.00,3,0,0,0,0,-,3,3,0,0,0,3,1,1,1.00,0,0,0,0,12,57,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,4,0.50
김명신,두산,67246,3.38,3,1,0,0,0,1.000,2 2/3,3,0,1,1,0,1,1,1.50,0,0,0,0,13,41,1,0,0,1,0,0,0,0,0,1,1,0,0,0,3,5,0.60
박치국,두산,67266,3.81,34,0,1,0,8,0.000,28 1/3,38,1,10,5,26,17,12,1.69,0,0,0,0,140,532,7,1,3,2,0,1,0,0,0,0,2,9,0,1,28,30,0.93
이영하,두산,66291,3.89,36,5,3,14,0,0.625,44,36,3,23,2,56,19,19,1.34,0,0,0,3,194,736,9,0,2,1,1,3,0,1,0,5,28,17,2,1,35,40,0.88
잭로그,두산,55239,4.17,19,4,6,0,0,0.400,101 1/3,119,11,19,6,84,54,47,1.36,0,0,7,0,446,1621,23,2,2,2,0,1,0,19,4,0,0,0,0,7,118,98,1.20
